rank_num,domain,taxon,taxon_rank,priority,sequences,file
1,bacteria,Pseudomonadota,phylum,2329.23,16611,001_Pseudomonadota_phylum.fna
2,bacteria,Bacillota,phylum,1623.03,31215,002_Bacillota_phylum.fna
3,bacteria,Bacteroidota,phylum,1278.23,13159,003_Bacteroidota_phylum.fna
4,bacteria,Clostridia,class,969.27,23021,004_Clostridia_class.fna
5,bacteria,Gammaproteobacteria,class,966.62,7239,005_Gammaproteobacteria_class.fna
6,bacteria,Alphaproteobacteria,class,952.54,5706,006_Alphaproteobacteria_class.fna
7,bacteria,Actinomycetota,phylum,501.23,4378,007_Actinomycetota_phylum.fna
8,bacteria,Flavobacteriales,order,457.65,2380,008_Flavobacteriales_order.fna
9,bacteria,Eubacteriales,order,453.31,11095,009_Eubacteriales_order.fna
10,bacteria,Cyanobacteriota,phylum,420.74,969,010_Cyanobacteriota_phylum.fna
11,bacteria,Cyanophyceae,class,418.55,969,011_Cyanophyceae_class.fna
12,bacteria,Thermodesulfobacteriota,phylum,417.73,3745,012_Thermodesulfobacteriota_phylum.fna
13,bacteria,Betaproteobacteria,class,368.19,3590,013_Betaproteobacteria_class.fna
14,bacteria,Actinomycetes,class,348.19,2942,014_Actinomycetes_class.fna
15,bacteria,Flavobacteriaceae,family,337.72,1594,015_Flavobacteriaceae_family.fna
16,bacteria,Bacilli,class,335.02,4901,016_Bacilli_class.fna
17,bacteria,Bacteroidia,class,304.2,7354,017_Bacteroidia_class.fna
18,bacteria,Hyphomicrobiales,order,252.58,1527,018_Hyphomicrobiales_order.fna
19,bacteria,Rhodobacterales,order,247.93,2093,019_Rhodobacterales_order.fna
20,bacteria,Cytophagales,order,244.64,1609,020_Cytophagales_order.fna
21,bacteria,Chloroflexota,phylum,241.73,3203,021_Chloroflexota_phylum.fna
22,bacteria,Lachnospirales,order,236.37,11167,022_Lachnospirales_order.fna
23,bacteria,Acidobacteriota,phylum,231.9,2241,023_Acidobacteriota_phylum.fna
24,bacteria,Bacillales,order,226.59,2177,024_Bacillales_order.fna
25,bacteria,Planctomycetota,phylum,225.11,3768,025_Planctomycetota_phylum.fna
26,bacteria,Bacteroidales,order,214.56,6577,026_Bacteroidales_order.fna
27,archaea,Methanobacteriota,phylum,209.76,1558,027_Methanobacteriota_phylum.fna
28,bacteria,Lachnospiraceae,family,207.54,11167,028_Lachnospiraceae_family.fna
29,bacteria,Verrucomicrobiota,phylum,202.85,1409,029_Verrucomicrobiota_phylum.fna
30,bacteria,Paracoccaceae,family,166.58,451,030_Paracoccaceae_family.fna
31,bacteria,Chitinophagales,order,164.15,702,031_Chitinophagales_order.fna
32,bacteria,Chitinophagaceae,family,159.8,702,032_Chitinophagaceae_family.fna
33,bacteria,Burkholderiales,order,157.83,2123,033_Burkholderiales_order.fna
34,bacteria,Rhodospirillales,order,156.84,538,034_Rhodospirillales_order.fna
35,bacteria,Planctomycetia,class,151.56,2378,035_Planctomycetia_class.fna
36,bacteria,Desulfobacteria,class,149.38,3706,036_Desulfobacteria_class.fna
37,bacteria,Oscillospiraceae,family,147.64,8030,037_Oscillospiraceae_family.fna
38,bacteria,Chromatiales,order,147.35,419,038_Chromatiales_order.fna
39,bacteria,Myxococcota,phylum,142.45,545,039_Myxococcota_phylum.fna
40,bacteria,Desulfobacterales,order,138.34,3706,040_Desulfobacterales_order.fna
41,bacteria,Peptostreptococcales,order,115.65,648,041_Peptostreptococcales_order.fna
42,bacteria,Nostocales,order,113.26,197,042_Nostocales_order.fna
43,bacteria,Negativicutes,class,109.12,1143,043_Negativicutes_class.fna
44,bacteria,Lactobacillales,order,108.43,2726,044_Lactobacillales_order.fna
45,archaea,Halobacteriales,order,106.49,634,045_Halobacteriales_order.fna
46,bacteria,Campylobacterota,phylum,95.35,1135,046_Campylobacterota_phylum.fna
47,bacteria,Micrococcales,order,95.09,338,047_Micrococcales_order.fna
48,bacteria,Oceanospirillales,order,93.73,787,048_Oceanospirillales_order.fna
49,bacteria,Lysobacterales,order,93.24,681,049_Lysobacterales_order.fna
50,bacteria,Nitrosomonadales,order,93.07,632,050_Nitrosomonadales_order.fna
51,bacteria,Marinilabiliales,order,89.64,783,051_Marinilabiliales_order.fna
52,bacteria,Spirochaetota,phylum,87.19,1883,052_Spirochaetota_phylum.fna
53,bacteria,Tissierellia,class,86.67,2138,053_Tissierellia_class.fna
54,bacteria,Anaerolineae,class,79.58,2764,054_Anaerolineae_class.fna
55,bacteria,Blastocatellia,class,78.86,268,055_Blastocatellia_class.fna
56,archaea,Thermoproteota,phylum,77.76,153,056_Thermoproteota_phylum.fna
57,bacteria,Epsilonproteobacteria,class,77.48,1122,057_Epsilonproteobacteria_class.fna
58,bacteria,Cellvibrionales,order,76.27,418,058_Cellvibrionales_order.fna
59,bacteria,Roseobacteraceae,family,76.2,399,059_Roseobacteraceae_family.fna
60,archaea,Thermoprotei,class,74.71,153,060_Thermoprotei_class.fna
