file,domain,taxon,rank,seq_count,avg_length,min_length,max_length,priority,expected_otu,lineage,genera_count
001_Pseudomonadota_phylum.fna,bacteria,Pseudomonadota,phylum,16611,1429.6,1200,3026,2329.23,25835,root > Bacteria > Pseudomonadati,604
002_Bacillota_phylum.fna,bacteria,Bacillota,phylum,31215,1413.8,1200,3469,1623.03,35388,root > Bacteria > Bacillati,375
003_Bacteroidota_phylum.fna,bacteria,Bacteroidota,phylum,13159,1428.7,1200,2826,1278.23,23129,Pseudomonadati > FCB group > Bacteroidota/Chlorobiota group,267
004_Clostridia_class.fna,bacteria,Clostridia,class,23021,1408.5,1200,2917,969.27,25900,Bacteria > Bacillati > Bacillota,209
005_Gammaproteobacteria_class.fna,bacteria,Gammaproteobacteria,class,7239,1444.4,1200,3026,966.62,8973,Bacteria > Pseudomonadati > Pseudomonadota,254
006_Alphaproteobacteria_class.fna,bacteria,Alphaproteobacteria,class,5706,1401.9,1200,2952,952.54,11027,Bacteria > Pseudomonadati > Pseudomonadota,244
007_Actinomycetota_phylum.fna,bacteria,Actinomycetota,phylum,4378,1418.0,1200,3032,501.23,8621,root > Bacteria > Bacillati,128
008_Flavobacteriales_order.fna,bacteria,Flavobacteriales,order,2380,1429.2,1200,2103,457.65,3478,Bacteroidota/Chlorobiota group > Bacteroidota > Flavobacteriia,96
009_Eubacteriales_order.fna,bacteria,Eubacteriales,order,11095,1408.3,1200,2657,453.31,9149,Bacillati > Bacillota > Clostridia,94
010_Cyanobacteriota_phylum.fna,bacteria,Cyanobacteriota,phylum,969,1438.2,1201,2514,420.74,1226,Bacteria > Bacillati > Cyanobacteriota/Melainabacteria group,103
011_Cyanophyceae_class.fna,bacteria,Cyanophyceae,class,969,1438.2,1201,2514,418.55,1223,Bacillati > Cyanobacteriota/Melainabacteria group > Cyanobacteriota,102
012_Thermodesulfobacteriota_phylum.fna,bacteria,Thermodesulfobacteriota,phylum,3745,1467.1,1200,1748,417.73,5511,root > Bacteria > Pseudomonadati,87
013_Betaproteobacteria_class.fna,bacteria,Betaproteobacteria,class,3590,1440.4,1200,2633,368.19,5254,Bacteria > Pseudomonadati > Pseudomonadota,97
