taxon,rank,domain,lineage,seq_count,avg_length,min_length,max_length
Lachnospirales,order,bacteria,Bacillati > Bacillota > Clostridia,10543,1404.4,1200,2917
Eubacteriales,order,bacteria,Bacillati > Bacillota > Clostridia,9728,1405.9,1200,1840
Bacilli,class,bacteria,Bacteria > Bacillati > Bacillota,4893,1430.4,1200,3469
Chloroflexota,phylum,bacteria,root > Bacteria > Bacillati,2784,1397.4,1200,1588
Desulfobacteraceae,family,bacteria,Thermodesulfobacteriota > Desulfobacteria > Desulfobacterales,2699,1469.6,1200,1748
Alphaproteobacteria,class,bacteria,Bacteria > Pseudomonadati > Pseudomonadota,2177,1393.5,1200,2540
Tissierellales,order,bacteria,Bacillati > Bacillota > Tissierellia,2140,1421.2,1204,2891
Gammaproteobacteria,class,bacteria,Bacteria > Pseudomonadati > Pseudomonadota,2126,1458.5,1200,3026
Actinomycetes,class,bacteria,Bacteria > Bacillati > Actinomycetota,1933,1398.3,1200,2916
Spirochaetaceae,family,bacteria,Spirochaetota > Spirochaetia > Spirochaetales,1818,1430.6,1201,3062
Burkholderiales,order,bacteria,Pseudomonadati > Pseudomonadota > Betaproteobacteria,1538,1429.9,1200,1840
Clostridiaceae,family,bacteria,Bacillota > Clostridia > Eubacteriales,1145,1423.0,1200,2657
Negativicutes,class,bacteria,Bacteria > Bacillati > Bacillota,1143,1454.2,1210,1781
Vicinamibacteraceae,family,bacteria,Acidobacteriota > Vicinamibacteria > Vicinamibacterales,1128,1473.4,1210,1583
Acidobacteriota,phylum,bacteria,root > Bacteria > Pseudomonadati,1099,1442.2,1200,1588
Campylobacterota,phylum,bacteria,root > Bacteria > Pseudomonadati,1084,1436.8,1201,1712
Moraxellaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Moraxellales,1054,1419.8,1200,1828
Bdellovibrionota,phylum,bacteria,root > Bacteria > Pseudomonadati,884,1436.9,1200,1581
Bacillota,phylum,bacteria,root > Bacteria > Bacillati,840,1428.7,1200,1753
Hyphomicrobiales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,760,1405.3,1201,1748
Sphingomonadales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,726,1412.6,1200,2952
Mycoplasmatota,phylum,bacteria,root > Bacteria > Bacillati,674,1479.3,1200,3023
Alteromonadales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,624,1453.4,1201,1625
Oxalobacteraceae,family,bacteria,Pseudomonadota > Betaproteobacteria > Burkholderiales,585,1448.4,1200,1726
Pasteurellaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Pasteurellales,565,1418.3,1226,1777
Nitrospirota,phylum,bacteria,root > Bacteria > Pseudomonadati,544,1460.2,1208,1695
Betaproteobacteria,class,bacteria,Bacteria > Pseudomonadati > Pseudomonadota,532,1460.7,1201,1651
Myxococcota,phylum,bacteria,root > Bacteria > Pseudomonadati,522,1465.0,1233,1873
Legionellales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,499,1444.1,1203,1642
Gaiellales,order,bacteria,Bacillati > Actinomycetota > Thermoleophilia,493,1429.1,1205,1619
Desulfovibrionaceae,family,bacteria,Thermodesulfobacteriota > Desulfovibrionia > Desulfovibrionales,488,1455.0,1201,1604
Rhodospirillales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,482,1411.4,1200,1533
Methanobacteriota,phylum,archaea,root > Archaea > Methanobacteriati,463,1380.1,1200,3106
Thermoplasmatota,phylum,archaea,root > Archaea > Methanobacteriati,452,1361.6,1203,3317
Halomonadaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Oceanospirillales,447,1407.5,1202,1594
Erysipelotrichaceae,family,bacteria,Bacillota > Erysipelotrichia > Erysipelotrichales,447,1394.3,1213,1557
Neisseriales,order,bacteria,Pseudomonadati > Pseudomonadota > Betaproteobacteria,422,1417.6,1201,2633
Pseudonocardiaceae,family,bacteria,Actinomycetota > Actinomycetes > Pseudonocardiales,421,1438.4,1202,1871
Pseudomonadales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,418,1456.3,1210,2296
Desulfuromonadia,class,bacteria,Bacteria > Pseudomonadati > Thermodesulfobacteriota,417,1467.1,1213,1668
Roseobacteraceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Rhodobacterales,399,1395.3,1202,1840
Nocardioidaceae,family,bacteria,Actinomycetota > Actinomycetes > Propionibacteriales,369,1439.7,1208,1581
Thiotrichales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,365,1473.7,1219,2930
Deinococcota,phylum,bacteria,root > Bacteria > Thermotogati,336,1433.9,1209,2826
Ardenticatenales,order,bacteria,Bacillati > Chloroflexota > Ardenticatenia,335,1429.1,1220,1556
Beijerinckiaceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Hyphomicrobiales,315,1406.9,1202,1587
Acidimicrobiales,order,bacteria,Bacillati > Actinomycetota > Acidimicrobiia,310,1426.4,1201,1551
Methylococcales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,283,1422.2,1200,1553
Rhodanobacteraceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Lysobacterales,281,1454.9,1227,1564
