taxon,rank,domain,lineage,seq_count,avg_length,min_length,max_length
Lachnospirales,order,bacteria,Bacillati > Bacillota > Clostridia,10543,1404.4,1200,2917
Eubacteriales,order,bacteria,Bacillati > Bacillota > Clostridia,9728,1405.9,1200,1840
Bacilli,class,bacteria,Bacteria > Bacillati > Bacillota,4896,1430.3,1200,3469
Tissierellales,order,bacteria,Bacillati > Bacillota > Tissierellia,2965,1423.4,1204,2891
Chloroflexota,phylum,bacteria,root > Bacteria > Bacillati,2768,1397.3,1200,1588
Desulfobacteraceae,family,bacteria,Thermodesulfobacteriota > Desulfobacteria > Desulfobacterales,2693,1469.5,1200,1748
Planctomycetia,class,bacteria,Pseudomonadati > PVC group > Planctomycetota,2382,1430.8,1200,1601
Alphaproteobacteria,class,bacteria,Bacteria > Pseudomonadati > Pseudomonadota,2177,1393.5,1200,2540
Gammaproteobacteria,class,bacteria,Bacteria > Pseudomonadati > Pseudomonadota,2127,1458.4,1200,3026
Actinomycetes,class,bacteria,Bacteria > Bacillati > Actinomycetota,1933,1398.3,1200,2916
Burkholderiales,order,bacteria,Pseudomonadati > Pseudomonadota > Betaproteobacteria,1539,1430.0,1200,1840
Phycisphaeraceae,family,bacteria,Planctomycetota > Phycisphaerae > Phycisphaerales,1390,1435.8,1200,1689
Vicinamibacteraceae,family,bacteria,Acidobacteriota > Vicinamibacteria > Vicinamibacterales,1149,1473.1,1210,1583
Clostridiaceae,family,bacteria,Bacillota > Clostridia > Eubacteriales,1146,1423.0,1200,2657
Negativicutes,class,bacteria,Bacteria > Bacillati > Bacillota,1144,1454.3,1210,1781
Acidobacteriota,phylum,bacteria,root > Bacteria > Pseudomonadati,1116,1443.0,1200,1588
Moraxellaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Moraxellales,1102,1418.1,1200,1828
Campylobacterota,phylum,bacteria,root > Bacteria > Pseudomonadati,1071,1435.7,1201,1549
Verrucomicrobiota,phylum,bacteria,Bacteria > Pseudomonadati > PVC group,1016,1467.4,1200,1615
Desulfuromonadia,class,bacteria,Bacteria > Pseudomonadati > Thermodesulfobacteriota,810,1467.6,1213,1668
Hyphomicrobiales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,760,1405.3,1201,1748
Sphingomonadales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,726,1412.6,1200,2952
Mycoplasmatota,phylum,bacteria,root > Bacteria > Bacillati,674,1479.3,1200,3023
Alteromonadales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,624,1453.4,1201,1625
Oxalobacteraceae,family,bacteria,Pseudomonadota > Betaproteobacteria > Burkholderiales,585,1448.4,1200,1726
Pasteurellaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Pasteurellales,565,1418.3,1226,1777
Betaproteobacteria,class,bacteria,Bacteria > Pseudomonadati > Pseudomonadota,532,1460.7,1201,1651
Bacillota,phylum,bacteria,root > Bacteria > Bacillati,504,1437.6,1204,1663
Legionellales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,499,1444.1,1203,1642
Gaiellales,order,bacteria,Bacillati > Actinomycetota > Thermoleophilia,493,1429.1,1205,1619
Rhodospirillales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,484,1411.6,1200,1533
Desulfovibrionaceae,family,bacteria,Thermodesulfobacteriota > Desulfovibrionia > Desulfovibrionales,483,1455.5,1201,1604
Halomonadaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Oceanospirillales,447,1407.5,1202,1594
Methylococcales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,426,1417.3,1200,1553
Neisseriales,order,bacteria,Pseudomonadati > Pseudomonadota > Betaproteobacteria,422,1417.6,1201,2633
Pseudonocardiaceae,family,bacteria,Actinomycetota > Actinomycetes > Pseudonocardiales,421,1438.4,1202,1871
Pseudomonadales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,418,1456.3,1210,2296
Roseobacteraceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Rhodobacterales,399,1395.3,1202,1840
Verrucomicrobiia,class,bacteria,Pseudomonadati > PVC group > Verrucomicrobiota,394,1415.1,1204,1883
Nocardioidaceae,family,bacteria,Actinomycetota > Actinomycetes > Propionibacteriales,369,1439.7,1208,1581
Thiotrichales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,364,1473.5,1219,2930
Ardenticatenales,order,bacteria,Bacillati > Chloroflexota > Ardenticatenia,335,1429.1,1220,1556
Fibrobacterota,phylum,bacteria,Bacteria > Pseudomonadati > FCB group,333,1403.8,1200,1583
Leptolyngbyaceae,family,bacteria,Cyanobacteriota > Cyanophyceae > Leptolyngbyales,317,1423.6,1203,2487
Beijerinckiaceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Hyphomicrobiales,314,1406.9,1202,1587
Acidimicrobiales,order,bacteria,Bacillati > Actinomycetota > Acidimicrobiia,310,1426.4,1201,1551
Rhodanobacteraceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Lysobacterales,281,1454.9,1227,1564
Chromatiales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,271,1474.6,1200,1715
