taxon,rank,domain,lineage,seq_count,avg_length,min_length,max_length
Bacteroidales,order,bacteria,Bacteroidota/Chlorobiota group > Bacteroidota > Bacteroidia,6587,1427.1,1200,2826
Desulfobacteraceae,family,bacteria,Thermodesulfobacteriota > Desulfobacteria > Desulfobacterales,3317,1468.2,1200,1748
Bacteroidota,phylum,bacteria,Pseudomonadati > FCB group > Bacteroidota/Chlorobiota group,3120,1429.3,1200,2103
Planctomycetia,class,bacteria,Pseudomonadati > PVC group > Planctomycetota,2380,1430.8,1200,1601
Spirochaetaceae,family,bacteria,Spirochaetota > Spirochaetia > Spirochaetales,1819,1430.6,1201,3062
Alphaproteobacteria,class,bacteria,Bacteria > Pseudomonadati > Pseudomonadota,1731,1392.0,1200,2540
Cytophagaceae,family,bacteria,Bacteroidota > Cytophagia > Cytophagales,1574,1435.4,1200,1772
Burkholderiales,order,bacteria,Pseudomonadati > Pseudomonadota > Betaproteobacteria,1542,1430.1,1200,1840
Phycisphaeraceae,family,bacteria,Planctomycetota > Phycisphaerae > Phycisphaerales,1390,1435.8,1200,1689
Gammaproteobacteria,class,bacteria,Bacteria > Pseudomonadati > Pseudomonadota,1368,1458.2,1200,2439
Vicinamibacteraceae,family,bacteria,Acidobacteriota > Vicinamibacteria > Vicinamibacterales,1127,1473.4,1210,1583
Campylobacterota,phylum,bacteria,root > Bacteria > Pseudomonadati,1071,1435.7,1201,1549
Desulfovibrionaceae,family,bacteria,Thermodesulfobacteriota > Desulfovibrionia > Desulfovibrionales,970,1455.3,1201,1604
Hyphomicrobiales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,761,1405.4,1201,1748
Sphingomonadales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,726,1412.6,1200,2952
Chitinophagaceae,family,bacteria,Bacteroidota > Chitinophagia > Chitinophagales,699,1438.4,1205,1797
Acidobacteriota,phylum,bacteria,root > Bacteria > Pseudomonadati,638,1436.2,1200,1552
Alteromonadales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,633,1453.1,1201,1625
Oxalobacteraceae,family,bacteria,Pseudomonadota > Betaproteobacteria > Burkholderiales,597,1448.2,1200,1726
Desulfuromonadia,class,bacteria,Bacteria > Pseudomonadati > Thermodesulfobacteriota,546,1469.2,1213,1668
