taxon,rank,domain,lineage,seq_count,avg_length,min_length,max_length
Burkholderiales,order,bacteria,Pseudomonadati > Pseudomonadota > Betaproteobacteria,1231,1429.8,1200,1840
Gammaproteobacteria,class,bacteria,Bacteria > Pseudomonadati > Pseudomonadota,882,1460.8,1200,2271
Oxalobacteraceae,family,bacteria,Pseudomonadota > Betaproteobacteria > Burkholderiales,588,1448.1,1200,1726
Pasteurellaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Pasteurellales,565,1418.3,1226,1777
Alphaproteobacteria,class,bacteria,Bacteria > Pseudomonadati > Pseudomonadota,438,1397.6,1200,1521
Roseobacteraceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Rhodobacterales,411,1395.8,1202,1840
Methylococcales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,391,1415.1,1200,1553
Beijerinckiaceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Hyphomicrobiales,314,1406.9,1202,1587
Alteromonadales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,311,1439.9,1201,1625
Rhodanobacteraceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Lysobacterales,309,1455.4,1227,1564
Hyphomicrobiaceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Hyphomicrobiales,260,1398.0,1200,1825
Rhodospirillales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,233,1402.8,1200,1513
Thiotrichales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,209,1477.6,1219,2930
Zoogloeaceae,family,bacteria,Pseudomonadota > Betaproteobacteria > Rhodocyclales,206,1458.8,1203,1668
Betaproteobacteria,class,bacteria,Bacteria > Pseudomonadati > Pseudomonadota,179,1468.7,1247,1540
Chromatiaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Chromatiales,145,1425.6,1220,1541
Sterolibacteriaceae,family,bacteria,Pseudomonadota > Betaproteobacteria > Nitrosomonadales,117,1456.7,1202,1588
Arenicellaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Arenicellales,98,1469.6,1247,1530
Rhodocyclales,order,bacteria,Pseudomonadati > Pseudomonadota > Betaproteobacteria,86,1459.0,1243,1550
Chromatiales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,72,1478.8,1200,1599
Acetobacteraceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Acetobacterales,71,1405.1,1237,1518
Rhodovibrionaceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Rhodospirillales,57,1403.0,1200,1496
Nevskiales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,55,1449.0,1243,1525
Pseudomonadales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,54,1434.9,1224,1546
Micropepsaceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Micropepsales,4,1396.8,1310,1503
Intrasporangiaceae,family,bacteria,Actinomycetota > Actinomycetes > Micrococcales,2,1466.5,1447,1486
Desulfobacteraceae,family,bacteria,Thermodesulfobacteriota > Desulfobacteria > Desulfobacterales,2,1473.5,1405,1542
Halomonadaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Oceanospirillales,1,1418.0,1418,1418
