division,expected_otu,sequences_found,sequences_extracted,output_file
Arthropoda,573,3627,573,01_Arthropoda_division.fna
Ascomycota,1465,10346,1465,02_Ascomycota_division.fna
Ciliophora,1461,13933,1461,03_Ciliophora_division.fna
Cercozoa,849,4089,849,04_Cercozoa_division.fna
Tubulinea,731,2856,731,05_Tubulinea_division.fna
Euglenozoa,827,3366,827,06_Euglenozoa_division.fna
Apicomplexa,598,4707,598,07_Apicomplexa_division.fna
Evosea,1751,11306,1751,08_Evosea_division.fna
Nematoda,413,3278,413,09_Nematoda_division.fna
Streptophyta,761,8674,761,10_Streptophyta_division.fna
Basidiomycota,723,14455,723,11_Basidiomycota_division.fna
Discosea,307,1117,307,12_Discosea_division.fna
Chlorophyta,445,7429,445,13_Chlorophyta_division.fna
Endomyxa,104,169,104,14_Endomyxa_division.fna
Cnidaria,82,324,82,15_Cnidaria_division.fna
Foraminifera,37,109,37,16_Foraminifera_division.fna
Fornicata,89,224,89,17_Fornicata_division.fna
Heterolobosea,319,1324,319,18_Heterolobosea_division.fna
Gastrotricha,99,612,99,19_Gastrotricha_division.fna
Rotifera,22,32,22,20_Rotifera_division.fna
Platyhelminthes,202,980,202,21_Platyhelminthes_division.fna
Chordata,133,249,133,22_Chordata_division.fna
Chytridiomycota,72,300,72,23_Chytridiomycota_division.fna
Mucoromycota,303,5782,303,24_Mucoromycota_division.fna
Oomycota,308,998,308,25_Oomycota_division.fna
Picozoa,51,366,51,26_Picozoa_division.fna
Bacillariophyta,324,6085,324,27_Bacillariophyta_division.fna
Hemimastigophora,20,81,20,28_Hemimastigophora_division.fna
Nibbleridia,3,11,3,29_Nibbleridia_division.fna
Perkinsozoa,19,22,19,30_Perkinsozoa_division.fna
Mollusca,58,254,58,31_Mollusca_division.fna
Blastocladiomycota,26,143,26,32_Blastocladiomycota_division.fna
Zoopagomycota,63,251,63,33_Zoopagomycota_division.fna
Annelida,3,6,3,34_Annelida_division.fna
Nebulidia,1,3,1,35_Nebulidia_division.fna
Microsporidia,9,13,9,36_Microsporidia_division.fna
Rhodophyta,2,21,2,37_Rhodophyta_division.fna
Cryptomycota,2,8,2,38_Cryptomycota_division.fna
