node,rank,expected_otu,sequences_found,sequences_extracted,output_file
Euamoebida,order,536,2287,536,001_Euamoebida_order.fna
Cercomonadidae,family,156,295,156,002_Cercomonadidae_family.fna
Hartmannellidae,family,368,1842,368,003_Hartmannellidae_family.fna
Calanoida,order,68,1459,68,004_Calanoida_order.fna
Arcellinida,order,189,561,189,005_Arcellinida_order.fna
Eugregarinorida,order,254,1011,254,006_Eugregarinorida_order.fna
Prostigmata,suborder,61,362,61,007_Prostigmata_suborder.fna
Glissomonadida,order,648,3737,648,008_Glissomonadida_order.fna
Scytomonadidae,family,92,192,92,009_Scytomonadidae_family.fna
Schizoplasmodiidae,family,46,98,46,010_Schizoplasmodiidae_family.fna
Hexamitinae,subfamily,89,224,89,011_Hexamitinae_subfamily.fna
Sessilida,order,139,1650,139,012_Sessilida_order.fna
Helotiales,order,130,800,130,013_Helotiales_order.fna
Rhabditida,order,368,2964,368,014_Rhabditida_order.fna
Sandonidae,family,645,3733,645,015_Sandonidae_family.fna
Endogenida,order,70,280,70,016_Endogenida_order.fna
Cladocera,suborder,21,82,21,017_Cladocera_suborder.fna
Peridiniales,order,468,2008,468,018_Peridiniales_order.fna
Lamiales,order,239,492,239,019_Lamiales_order.fna
Vorticellidae,family,138,1647,138,020_Vorticellidae_family.fna
Rhabdomonadales,order,50,288,50,021_Rhabdomonadales_order.fna
Amphitremida,order,33,86,33,022_Amphitremida_order.fna
Neobodonida,order,47,88,47,023_Neobodonida_order.fna
Rigifilida,order,25,45,25,024_Rigifilida_order.fna
Hypocreales,order,755,6085,755,025_Hypocreales_order.fna
Pleosporales,order,228,1446,228,026_Pleosporales_order.fna
Chaetonotidae,family,99,612,99,027_Chaetonotidae_family.fna
Ploima,order,22,32,22,028_Ploima_order.fna
Collodaria,order,44,90,44,029_Collodaria_order.fna
Tylenchina,suborder,241,2103,241,030_Tylenchina_suborder.fna
Dysteriida,order,28,121,28,031_Dysteriida_order.fna
Eriophyoidea,superfamily,25,40,25,032_Eriophyoidea_superfamily.fna
Euglenaceae,family,470,1572,470,033_Euglenaceae_family.fna
Ensiculiferaceae,family,466,2001,466,034_Ensiculiferaceae_family.fna
Bicosoecida,order,75,544,75,035_Bicosoecida_order.fna
Hemiptera,order,59,448,59,036_Hemiptera_order.fna
Mastigamoebidae,family,1609,10879,1609,037_Mastigamoebidae_family.fna
Paramoebidae,family,54,81,54,038_Paramoebidae_family.fna
Dileptidae,family,253,2935,253,039_Dileptidae_family.fna
Psathyrellaceae,family,217,1383,217,040_Psathyrellaceae_family.fna
Eimeriorina,suborder,194,2065,194,041_Eimeriorina_suborder.fna
Lecideaceae,family,93,676,93,042_Lecideaceae_family.fna
Cordycipitaceae,family,289,1823,289,043_Cordycipitaceae_family.fna
Longamoebia,order,115,763,115,044_Longamoebia_order.fna
Plagiopyxidae,family,151,397,151,045_Plagiopyxidae_family.fna
Monocystidae,family,131,467,131,046_Monocystidae_family.fna
Discinellaceae,family,31,98,31,047_Discinellaceae_family.fna
Phryganellina,suborder,8,13,8,048_Phryganellina_suborder.fna
Stylonychinae,subfamily,800,7715,800,049_Stylonychinae_subfamily.fna
Psalteriomonadidae,family,108,544,108,050_Psalteriomonadidae_family.fna
Sternorrhyncha,suborder,54,441,54,051_Sternorrhyncha_suborder.fna
Bodonidae,family,24,45,24,052_Bodonidae_family.fna
Protaspidae,family,6,7,6,053_Protaspidae_family.fna
Nepetoideae,subfamily,79,227,79,054_Nepetoideae_subfamily.fna
Chlorellaceae,family,33,541,33,055_Chlorellaceae_family.fna
Poaceae,family,379,6270,379,056_Poaceae_family.fna
Flamellidae,family,62,262,62,057_Flamellidae_family.fna
Bicosoecidae,family,57,469,57,058_Bicosoecidae_family.fna
Picomonadidae,family,51,366,51,059_Picomonadidae_family.fna
Trypanosomatidae,family,144,1181,144,060_Trypanosomatidae_family.fna
Collophidiidae,family,42,87,42,061_Collophidiidae_family.fna
Pseudocolliniidae,family,40,96,40,062_Pseudocolliniidae_family.fna
Urotrichidae,family,38,128,38,063_Urotrichidae_family.fna
Acinetidae,family,37,104,37,064_Acinetidae_family.fna
Amoebidae,family,35,66,35,065_Amoebidae_family.fna
Anthoptilidae,family,35,169,35,066_Anthoptilidae_family.fna
Pelobiontida,order,34,67,34,067_Pelobiontida_order.fna
Tokophryidae,family,33,176,33,068_Tokophryidae_family.fna
Gromiidae,family,33,56,33,069_Gromiidae_family.fna
Acanthamoebidae,family,107,751,107,070_Acanthamoebidae_family.fna
Bdellidae,family,31,179,31,071_Bdellidae_family.fna
Hyalospheniidae,family,30,151,30,072_Hyalospheniidae_family.fna
