rank,umbrella,priority,taxa_in_group,taxa_with_fna,sequences_from_fna,sequences_from_unassigned,total_sequences,output_file,included_taxa,unassigned_genera,missing_taxa
1,Amoebozoa,238.95,6,6,418,4214,4632,01_Amoebozoa_umbrella.fna,Euamoebida;Arcellinida;Flamellidae;Pelobiontida;Vannellidae;Echinamoebidae,Amoebozoa.U.genus,
2,Rhizaria,198.57,10,8,744,2170,2914,02_Rhizaria_umbrella.fna,Cercomonadidae;Sandonidae;Collodaria;Gromiidae;Paradiniida;Vampyrellidae;Allapsidae;Massisteriidae,Cercozoa.U.genus;Rhizaria.U.genus;Monothalamids_X.U.genus;TSAR.U.genus,Cryomonadida;Nassellaria
3,Intramacronucleata,119.98,7,7,239,803,1042,03_Intramacronucleata_umbrella.fna,Sessilida;Endogenida;Dysteriida;Urotrichidae;Evaginogenida;Ophryoglenina;Parameciidae,Ciliophora.U.genus,
4,Tubulinea,117.17,4,4,206,4214,4420,04_Tubulinea_umbrella.fna,Hartmannellidae;Phryganellina;Amoebidae;Flabellulidae,Amoebozoa.U.genus,
5,Sar,107.25999999999999,4,4,932,5019,5951,05_Sar_umbrella.fna,Glissomonadida;Vampyrellida;Peridiniales;Limnofilidae,Stramenopiles.U.genus;Gyrista.U.genus;Ochrophyta.U.genus;Dinophyceae.U.genus;Dino-Group-II.U.genus;Alveolata.U.genus;TSAR.U.genus;SAR.U.genus;Chlorophyta_X.U.genus,
6,Apicomplexa,88.27000000000001,5,3,315,0,315,06_Apicomplexa_umbrella.fna,Eugregarinorida;Plasmodiidae;Theileriidae,Apicomplexa.U.genus,Neogregarinorida;Babesiidae
7,Conoidasida,85.08,7,6,337,0,337,07_Conoidasida_umbrella.fna,Eimeriorina;Monocystidae;Gregarinidae;Stylocephalidae;Leidyanidae;Lipotrophidae,Apicomplexa.U.genus,Actinocephalidae
8,Euglenozoa,83.33,2,2,54,3295,3349,08_Euglenozoa_umbrella.fna,Scytomonadidae;Neobodonida,Euglenida.U.genus;Heterolobosea.U.genus;Kinetoplastea.U.genus;Petalomonadida.U.genus;Discoba.U.genus,
9,Discoba,80.14999999999999,2,1,137,0,137,09_Discoba_umbrella.fna,Neovahlkampfiidae,,Petalomonadida
10,Alveolata,64.9,6,4,386,0,386,10_Alveolata_umbrella.fna,Ensiculiferaceae;Ceratiaceae;Adeleidae;Peridiniaceae,,Perkinsida;Piroplasmida
11,Evosea,64.06,2,2,287,4214,4501,11_Evosea_umbrella.fna,Schizoplasmodiidae;Mastigamoebidae,Amoebozoa.U.genus,
12,Stramenopiles,63.260000000000005,5,5,257,2380,2637,12_Stramenopiles_umbrella.fna,Bicosoecida;Amphitremida;Pythiaceae;Haliphthoraceae;Saprolegniaceae,Stramenopiles.U.genus;Gyrista.U.genus;Ochrophyta.U.genus;TSAR.U.genus,
13,Neocopepoda,61.46,8,8,32,0,32,13_Neocopepoda_umbrella.fna,Paracalanidae;Diaptomidae;Centropagidae;Metridinidae;Pontellidae;Cyclopidae;Temoridae;Acartiidae,,
14,Copepoda,53.46,1,1,31,0,31,14_Copepoda_umbrella.fna,Calanoida,,
15,Retaria,52.98,5,5,58,507,565,15_Retaria_umbrella.fna,Collophidiidae;Pyloniidae;Lagynidae;Reophacidae;Sphaerozoidae,Monothalamids_X.U.genus,
16,sordariomyceta,50.27,5,5,411,4302,4713,16_sordariomyceta_umbrella.fna,Hypocreales;Discinellaceae;Chlorociboriaceae;Hyaloscyphaceae;Dermateaceae,Fungi.U.genus;Pezizomycotina.U.genus;Agaricomycetes.U.genus;Dothideomycetes.U.genus;Sordariomycetes.U.genus;Chytridiomycota.U.genus,
17,Cercozoa,48.53,3,2,12,0,12,17_Cercozoa_umbrella.fna,Protaspidae;Ventrifissuridae,,Thaumatomonadida
18,Phyllopharyngea,44.81,4,4,61,803,864,18_Phyllopharyngea_umbrella.fna,Acinetidae;Tokophryidae;Dysteriidae;Hartmannulidae,Ciliophora.U.genus,
19,Elardia,43.68,4,4,99,0,99,19_Elardia_umbrella.fna,Plagiopyxidae;Hyalospheniidae;Cryptodifflugiidae;Phryganellidae,,
20,Oligohymenophorea,42.5,3,3,104,803,907,20_Oligohymenophorea_umbrella.fna,Vorticellidae;Pseudocolliniidae;Epistylidae,Ciliophora.U.genus,
