umbrella_group,child_taxa_count,total_otu,total_priority,unique_genera,child_taxa
Amoebozoa,6,878,164.8,14,Euamoebida;Arcellinida;Flamellidae;Pelobiontida;Vannellidae;Echinamoebidae
Rhizaria,8,919,152.5,14,Cercomonadidae;Sandonidae;Collodaria;Gromiidae;Paradiniida;Vampyrellidae;Allapsidae;Massisteriidae
Intramacronucleata,7,368,107.3,11,Sessilida;Endogenida;Dysteriida;Urotrichidae;Evaginogenida;Ophryoglenina;Parameciidae
Tubulinea,4,416,90.2,8,Hartmannellidae;Phryganellina;Amoebidae;Flabellulidae
Sar,3,1120,68.2,6,Glissomonadida;Peridiniales;Limnofilidae
Conoidasida,6,450,66.5,9,Eimeriorina;Monocystidae;Stylocephalidae;Leidyanidae;Lipotrophidae;Gregarinidae
Neocopepoda,8,72,61.5,8,Paracalanidae;Diaptomidae;Centropagidae;Metridinidae;Pontellidae;Cyclopidae;Temoridae;Acartiidae
Euglenozoa,2,139,56.3,5,Scytomonadidae;Neobodonida
Apicomplexa,3,399,54.2,7,Eugregarinorida;Theileriidae;Plasmodiidae
Stramenopiles,5,416,54.1,7,Amphitremida;Bicosoecida;Pythiaceae;Haliphthoraceae;Saprolegniaceae
Copepoda,1,68,53.5,7,Calanoida
Retaria,5,98,53.0,5,Collophidiidae;Pyloniidae;Lagynidae;Reophacidae;Sphaerozoidae
sordariomyceta,5,885,50.3,8,Hypocreales;Discinellaceae;Chlorociboriaceae;Hyaloscyphaceae;Dermateaceae
Evosea,2,1655,49.6,4,Schizoplasmodiidae;Mastigamoebidae
Phyllopharyngea,4,98,44.8,4,Acinetidae;Tokophryidae;Dysteriidae;Hartmannulidae
Elardia,4,189,43.7,4,Plagiopyxidae;Hyalospheniidae;Cryptodifflugiidae;Phryganellidae
Oligohymenophorea,3,179,42.5,4,Vorticellidae;Pseudocolliniidae;Epistylidae
Spirocuta,3,520,42.3,3,Euglenaceae;Astasiidae;Distigmidae
Bigyra,5,225,41.8,5,Bicosoecidae;Amphitraemidae;Labyrinthulaceae;Blastocystidae;Cafeteriaceae
Prostigmata,4,61,40.2,5,Bdellidae;Diptilomiopidae;Penthaleidae;Eriophyidae
Acari,1,61,40.2,5,Prostigmata
Sordariomycetes,5,807,39.9,6,Cordycipitaceae;Xenospadicoidaceae;Chaetomiaceae;Nectriaceae;Barbatosphaeriaceae
Alveolata,4,474,39.6,4,Ensiculiferaceae;Ceratiaceae;Adeleidae;Peridiniaceae
