taxon_name,level,novelty_factor,source_domain,census_taxid,census_otu_count,census_size_count,ncbi_genome_count,ncbi_species_count,domain,kingdom,subkingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,strain,clade,no rank,cohort,section,species group,subcohort,subsection,varietas
wastewater_metagenome.Mitochondria,genus,9999.0,Unknown,527639.0,6,48,0,0,,,,,,,,,,,,,,,,,,,,,,wastewater metagenome,,,,ecological metagenomes,,,,,,
wastewater_metagenome.Chloroplast,genus,9999.0,Unknown,527639.0,1,16,0,0,,,,,,,,,,,,,,,,,,,,,,wastewater metagenome,,,,ecological metagenomes,,,,,,
unidentified_proteobacterium.Mitochondria,genus,9999.0,Unknown,2722.0,7,20,0,0,Bacteria,Pseudomonadati,,Pseudomonadota,,,,,,,,,,,,,,,,,,unidentified proteobacterium,,,,environmental samples,,,,,,
uncultured_rumen_bacterium.Mitochondria,genus,9999.0,Unknown,136703.0,22,59,0,0,Bacteria,,,,,,,,,,,,,,,,,,,,,uncultured rumen bacterium,,,,environmental samples,,,,,,
uncultured_phototrophic_eukaryote.Chloroplast,genus,9999.0,Unknown,172788.0,40,127,0,0,Eukaryota,,,,,,,,,,,,,,,,,,,,,uncultured phototrophic eukaryote,,,,environmental samples,,,,,,
uncultured_organism.Mitochondria,genus,9999.0,Unknown,155900.0,215,928,0,0,,,,,,,,,,,,,,,,,,,,,,uncultured organism,,,,environmental samples,,,,,,
uncultured_organism.Chloroplast,genus,9999.0,Unknown,155900.0,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,uncultured organism,,,,environmental samples,,,,,,
uncultured_marine_eukaryote.Chloroplast,genus,9999.0,Unknown,203449.0,152,760,0,0,Eukaryota,,,,,,,,,,,,,,,,,,,,,uncultured marine eukaryote,,,,environmental samples,,,,,,
uncultured_marine_bacterium.Chloroplast,genus,9999.0,Unknown,56765.0,1,26,0,0,Bacteria,,,,,,,,,,,,,,,,,,,,,uncultured marine bacterium,,,,environmental samples,,,,,,
uncultured_eukaryote.Chloroplast,genus,9999.0,Unknown,100272.0,6,11,0,0,Eukaryota,,,,,,,,,,,,,,,,,,,,,uncultured eukaryote,,,,environmental samples,,,,,,
uncultured_diatom.Chloroplast,genus,9999.0,Unknown,137771.0,4,13,0,0,Eukaryota,,,Bacillariophyta,,,,,,,,,,,,,,,,,,uncultured diatom,,,Ochrophyta,environmental samples,,,,,,
uncultured_deep-sea_bacterium.Mitochondria,genus,9999.0,Unknown,759664.0,5,8,0,0,Bacteria,,,,,,,,,,,,,,,,,,,,,uncultured deep-sea bacterium,,,,environmental samples,,,,,,
uncultured_Streptophyta.Chloroplast,genus,9999.0,Unknown,260559.0,1,1,0,0,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,,,,,,,,,,uncultured Streptophyta,,,,environmental samples,,,,,,
uncultured_Phacus.Chloroplast,genus,9999.0,Unknown,1476393.0,12,37,0,0,Eukaryota,,,Euglenozoa,,,Euglenida,Euglenophyceae,,,Euglenales,,,,,Phacaceae,,,,,,uncultured Phacus,,,Spirocuta,environmental samples,,,,,,
uncultured_Mamiellophyceae.Chloroplast,genus,9999.0,Unknown,1659307.0,5,9,0,0,Eukaryota,Viridiplantae,,Chlorophyta,,,Mamiellophyceae,,,,,,,,,,,,,,,uncultured Mamiellophyceae,,,,environmental samples,,,,,,
uncultured_Dunaliella_sp.Chloroplast,genus,9999.0,Unknown,3044.0,1,2,0,0,Eukaryota,Viridiplantae,,Chlorophyta,,,Chlorophyceae,,,,Chlamydomonadales,,,,,Dunaliellaceae,,,,Dunaliella,,,,,CS clade,,,,,,,
uncultured_Chlorophyta.Chloroplast,genus,9999.0,Unknown,171245.0,2,14,0,0,Eukaryota,Viridiplantae,,Chlorophyta,,,,,,,,,,,,,,,,,,uncultured Chlorophyta,,,,environmental samples,,,,,,
uncultured_Chlorella.Chloroplast,genus,9999.0,Unknown,254346.0,2,10,0,0,Eukaryota,Viridiplantae,,Chlorophyta,,,Trebouxiophyceae,,,,,,,,,,,,,,,uncultured Chlorella,,,core chlorophytes,environmental samples,,,,,,
