taxon_name,level,novelty_factor,source_domain,census_taxid,census_otu_count,census_size_count,ncbi_genome_count,ncbi_species_count,domain,kingdom,subkingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,clade,no rank,class radiolaria,cohort,division,genus cyclotrichium,subcohort,subphylum craniata
epibiont,genus,9999.0,Unknown,,6,29,0,0,,,,,,,,,,,,,,,,epibiont,,,,,,,,,,,Opisthokonta,,,
Xiphocephalus,genus,9999.0,Unknown,650332.0,20,39,0,0,Eukaryota,,,Apicomplexa,,,Conoidasida,Gregarinasina,,,Eugregarinorida,,,,,Stylocephalidae,,,,Xiphocephalus,,,Alveolata,,,,,,,
Xcellidae,family,9999.0,Unknown,2759735.0,19,22,0,0,Eukaryota,,,Perkinsozoa,,,,,,,Perkinsida,,,,,Xcellidae,,,,,,,Perkinsea,,,,,,,
WIM80-lineage,family,9999.0,Unknown,,173,656,0,0,,,,,,,,,,,,,,,,WIM80-lineage,,,,,,,,,,,Evosea,,,
Vorticella,genus,9999.0,Unknown,60849.0,132,1571,0,0,Eukaryota,,,Ciliophora,Intramacronucleata,,Oligohymenophorea,Peritrichia,,,Sessilida,,,,,Vorticellidae,,,,Vorticella,,,Alveolata,,,,,,,
Vermamoebidae,family,9999.0,Unknown,,46,155,0,0,,,,,,,,,,,,,,,,Eukaryota,,,,,,,cellular organisms,,,,,,,
Ventrifissuridae,family,9999.0,Unknown,1938506.0,9,9,0,0,Eukaryota,,,Cercozoa,,,Thecofilosea,,,,Ventricleftida,,,,,Ventrifissuridae,,,,,,,Rhizaria,,,,,,,
Ventrifissura,genus,9999.0,Unknown,1938507.0,9,9,0,0,Eukaryota,,,Cercozoa,,,Thecofilosea,,,,Ventricleftida,,,,,Ventrifissuridae,,,,Ventrifissura,,,Rhizaria,,,,,,,
Vampyrellidae,family,9999.0,Unknown,325674.0,10,18,0,0,Eukaryota,,,Endomyxa,,,,,,,Vampyrellida,,,,,Vampyrellidae,,,,,,,Rhizaria,,,,,,,
Vampyrella,genus,9999.0,Unknown,941459.0,10,18,0,0,Eukaryota,,,Endomyxa,,,,,,,Vampyrellida,,,,,Vampyrellidae,,,,Vampyrella,,,Rhizaria,,,,,,,
Urotrichidae,family,9999.0,Unknown,457377.0,38,128,0,0,Eukaryota,,,Ciliophora,Intramacronucleata,,Prostomatea,,,,Prorodontida,,,,,Urotrichidae,,,,,,,Alveolata,,,,,,,
Urotricha,genus,9999.0,Unknown,457378.0,38,128,0,0,Eukaryota,,,Ciliophora,Intramacronucleata,,Prostomatea,,,,Prorodontida,,,,,Urotrichidae,,,,Urotricha,,,Alveolata,,,,,,,
Unclassified_Provorticidae,genus,9999.0,Unknown,12908.0,21,58,0,0,,,,,,,,,,,,,,,,,,,,,,,,unclassified sequences,,,,,,
Ubysseya,genus,9999.0,Unknown,3004335.0,1,2,0,0,Eukaryota,,,Nibbleridia,,,Nibbleridea,,,,Nibbleridida,,,,,Nibbleridae,,,,Ubysseya,,,Provora,,,,,,,
Trochilia,genus,9999.0,Unknown,1170543.0,25,115,0,0,Eukaryota,,,Ciliophora,Intramacronucleata,,Phyllopharyngea,Phyllopharyngia,,,Dysteriida,,,,,Dysteriidae,,,,Trochilia,,,Alveolata,,,,,,,
Trimitus,genus,9999.0,Unknown,306058.0,47,88,0,0,Eukaryota,,,Fornicata,,,,,,,Diplomonadida,,,,,Hexamitidae,Hexamitinae,,,Trimitus,,,Metamonada,,,,,,,
Trepomonas,genus,9999.0,Unknown,44997.0,10,23,0,0,Eukaryota,,,Fornicata,,,,,,,Diplomonadida,,,,,Hexamitidae,Hexamitinae,,,Trepomonas,,,Metamonada,,,,,,,
Trachelomonas,genus,9999.0,Unknown,96503.0,470,1572,0,0,Eukaryota,,,Euglenozoa,,,Euglenida,Euglenophyceae,,,Euglenales,,,,,Euglenaceae,,,,Trachelomonas,,,Spirocuta,,,,,,,
Tokophryidae,family,9999.0,Unknown,168137.0,33,176,0,0,Eukaryota,,,Ciliophora,Intramacronucleata,,Phyllopharyngea,Suctoria,,,Endogenida,,,,,Tokophryidae,,,,,,,Alveolata,,,,,,,
Tokophrya,genus,9999.0,Unknown,168138.0,33,176,0,0,Eukaryota,,,Ciliophora,Intramacronucleata,,Phyllopharyngea,Suctoria,,,Endogenida,,,,,Tokophryidae,,,,Tokophrya,,,Alveolata,,,,,,,
Tobrilus,genus,9999.0,Unknown,327476.0,11,65,0,0,Eukaryota,Metazoa,,Nematoda,,,Enoplea,Enoplia,,,Triplonchida,Tobrilina,,,Tobriloidea,Tobrilidae,,,,Tobrilus,,,Ecdysozoa,,,,,,,
Thoracosphaeraceae,family,9999.0,Unknown,1691972.0,468,2008,0,0,Eukaryota,,,,,,Dinophyceae,,,,Thoracosphaerales,,,,,Thoracosphaeraceae,,,,,,,Alveolata,,,,,,,
Tholoniidae,family,9999.0,Unknown,,26,77,0,0,,,,,,,,,,,,,,,,Eukaryota,,,,,,cellular organisms,,,,,,,,
Tholomura,genus,9999.0,Unknown,2748069.0,26,77,0,0,Eukaryota,,,,,,Polycystinea,,,,Spumellaria,,,,,Pyloniidae,,,,Tholomura,,,Retaria,,,,,,,
Thaumatomonas,genus,9999.0,Unknown,45099.0,8,9,0,0,Eukaryota,,,Cercozoa,,,Imbricatea,,,,Thaumatomonadida,,,,,Thaumatomastigidae,,,,Thaumatomonas,,,Silicofilosea,,,,,,,
Thaumatomonadidae,family,9999.0,Unknown,45098.0,8,9,0,0,Eukaryota,,,Cercozoa,,,Imbricatea,,,,Thaumatomonadida,,,,,Thaumatomastigidae,,,,,,,Silicofilosea,,,,,,,
Tetrachaetum,genus,9999.0,Unknown,253301.0,12,36,0,0,Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,,Leotiomycetes,,,,Helotiales,,,,,Discinellaceae,,,,Tetrachaetum,,,sordariomyceta,,,,,,,
Surapoda,genus,9999.0,Unknown,1454509.0,1,2,0,0,Eukaryota,Metazoa,,Arthropoda,Chelicerata,,Arachnida,Acari,,Acariformes,Trombidiformes,Prostigmata,,,Eriophyoidea,Eriophyidae,Nothopodinae,Nothopodini,,Surapoda,,,Eupodina,,,,,,,
Stylocephalidae,family,9999.0,Unknown,650329.0,20,39,0,0,Eukaryota,,,Apicomplexa,,,Conoidasida,Gregarinasina,,,Eugregarinorida,,,,,Stylocephalidae,,,,,,,Alveolata,,,,,,,
Spironemidae,family,9999.0,Unknown,2027449.0,20,81,0,0,Eukaryota,,,Hemimastigophora,,,,,,,,,,,,Spironemidae,,,,,,,,,,,,,,
Spinibdella,genus,9999.0,Unknown,768103.0,31,179,0,0,Eukaryota,Metazoa,,Arthropoda,Chelicerata,,Arachnida,Acari,,Acariformes,Trombidiformes,Prostigmata,,,Bdelloidea,Bdellidae,,,,Spinibdella,,,Eupodina,,,,,,,
Sphaerozoum,genus,9999.0,Unknown,65589.0,2,3,0,0,Eukaryota,,,,,,Polycystinea,,,,Collodaria,,,,,Sphaerozoidae,,,,Sphaerozoum,,,Retaria,,,,,,,
Sphaerozoidae,family,9999.0,Unknown,65588.0,2,3,0,0,Eukaryota,,,,,,Polycystinea,,,,Collodaria,,,,,Sphaerozoidae,,,,,,,Retaria,,,,,,,
