taxon_name,level,novelty_factor,taxid,lineage,lineage_taxids
Pseudomonadota,phylum,1.607,1224,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota,131567;2;3379134;1224
Bacillota,phylum,3.459,1239,cellular organisms;Bacteria;Bacillati;Bacillota,131567;2;1783272;1239
Campylobacterota,phylum,3.136,29547,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota,131567;2;3379134;29547
Bacteroidota,phylum,4.254,976,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota,131567;2;3379134;1783270;68336;976
Actinomycetota,phylum,0.886,201174,cellular organisms;Bacteria;Bacillati;Actinomycetota,131567;2;1783272;201174
Chloroflexota,phylum,18.45,200795,cellular organisms;Bacteria;Bacillati;Chloroflexota,131567;2;1783272;200795
Acidobacteriota,phylum,24.659,57723,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota,131567;2;3379134;57723
Verrucomicrobiota,phylum,16.855,74201,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota,131567;2;3379134;1783257;74201
Planctomycetota,phylum,26.343,203682,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota,131567;2;3379134;1783257;203682
Thermodesulfobacteriota,phylum,6.884,200940,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota,131567;2;3379134;200940
Spirochaetota,phylum,6.819,203691,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota,131567;2;3379134;203691
Euryarchaeota,phylum,2.048,28890,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota,131567;2157;3366610;28890
Cyanobacteriota,phylum,0.628,1117,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota,131567;2;1783272;1798711;1117
Myxococcota,phylum,14.306,2818505,cellular organisms;Bacteria;Pseudomonadati;Myxococcota,131567;2;3379134;2818505
Mycoplasmatota,phylum,2.48,544448,cellular organisms;Bacteria;Bacillati;Mycoplasmatota,131567;2;1783272;544448
Gemmatimonadota,phylum,19.969,142182,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota,131567;2;3379134;1783270;142182
Nitrososphaerota,phylum,5.786,651137,cellular organisms;Archaea;Thermoproteati;Nitrososphaerota,131567;2157;1783275;651137
Nitrospirota,phylum,5.31,40117,cellular organisms;Bacteria;Pseudomonadati;Nitrospirota,131567;2;3379134;40117
Thermoproteota,phylum,2.276,28889,cellular organisms;Archaea;Thermoproteati;Thermoproteota,131567;2157;1783275;28889
Bdellovibrionota,phylum,10.713,3018035,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota,131567;2;3379134;3018035
Ignavibacteriota,phylum,0.094,1134404,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Ignavibacteriota,131567;2;3379134;1783270;68336;1134404
Fusobacteriota,phylum,4.637,32066,cellular organisms;Bacteria;Fusobacteriati;Fusobacteriota,131567;2;3384189;32066
Chlamydiota,phylum,0.105,204428,cellular organisms;Bacteria;Pseudomonadati;PVC group;Chlamydiota,131567;2;3379134;1783257;204428
Elusimicrobiota,phylum,4.369,74152,cellular organisms;Bacteria;Pseudomonadati;Elusimicrobiota,131567;2;3379134;74152
Armatimonadota,phylum,15.344,67819,cellular organisms;Bacteria;Bacillati;Armatimonadota,131567;2;1783272;67819
Synergistota,phylum,4.854,508458,cellular organisms;Bacteria;Thermotogati;Synergistota,131567;2;3384194;508458
Deferribacterota,phylum,2.676,200930,cellular organisms;Bacteria;Pseudomonadati;Deferribacterota,131567;2;3379134;200930
Deinococcota,phylum,2.614,1297,cellular organisms;Bacteria;Thermotogati;Deinococcota,131567;2;3384194;1297
