node,rank,num_genera,total_priority_score,avg_priority_score,total_otu,path,top_genera,all_genera
Methanobacteriota,phylum,66,209.76,3.18,2386,root > Archaea > Methanobacteriati,"Methanothrix(6.4), Methanospirillum(5.5), Methanosphaera(5.5), Thermococci.U.genus(5.3), Methanobrevibacter(5.3)",Methanothrix;Methanospirillum;Methanosphaera;Thermococci.U.genus;Methanobrevibacter;Halonotius;Methanoregula;Haloquadratum;Methanocella;Halapricum;Methanomicrobium;Methanotorris;Methanolinea;Halomicrobium;Natronomonas;Haloparvum;Methanosarcina;Methanocaldococcus;Haloterrigena;Halolamina;Halorubrum;Halovenus;Natronobacterium;Methanobacterium;Methanoculleus;Halococcus;Methanocalculus;Methanonatronarchaeaceae.U.genus;Halorussus;Ferroglobus;Methanocorpusculum;Methanimicrococcus;Methanocellaceae.U.genus;Methanogenium;Salinarchaeum;Halomarina;Halobiforma;Halohasta;Halopiger;Methanococcus;Halobellus;Halosimplex;Halorubellus;Natronolimnobius;Haloplanus;Halobacterium;Methanolobus;Halorientalis;Methanomethylovorans;Salinigranum;Methanococcoides;Natronorubrum;Halarchaeum;Natronoarchaeum;Geoglobus;Halogeometricum;Methanothermus;Palaeococcus;Halogranum;Halodesulfurarchaeum;Halovivax;Halanaeroarchaeum;Methermicoccus;Halobium;Salinirussus;Salinirubrum
Halobacteriales,order,37,106.49,2.88,745,Methanobacteriota > Stenosarchaea group > Halobacteria,"Halonotius(4.8), Haloquadratum(4.7), Halapricum(4.3), Halomicrobium(3.9), Natronomonas(3.9)",Halonotius;Haloquadratum;Halapricum;Halomicrobium;Natronomonas;Haloparvum;Haloterrigena;Halolamina;Halorubrum;Halovenus;Natronobacterium;Halococcus;Halorussus;Salinarchaeum;Halomarina;Halobiforma;Halohasta;Halopiger;Halobellus;Halosimplex;Halorubellus;Natronolimnobius;Haloplanus;Halobacterium;Halorientalis;Salinigranum;Natronorubrum;Halarchaeum;Natronoarchaeum;Halogeometricum;Halogranum;Halodesulfurarchaeum;Halovivax;Halanaeroarchaeum;Halobium;Salinirussus;Salinirubrum
Thermoproteota,phylum,22,77.76,3.53,400,root > Archaea > Thermoproteati,"Sulfophobococcus(10.7), Ignisphaera(5.5), Thermofilum(4.5), Aeropyrum(4.5), Pyrobaculum(4.1)",Sulfophobococcus;Ignisphaera;Thermofilum;Aeropyrum;Pyrobaculum;Fervidicoccaceae.U.genus;Staphylothermus;Fervidicoccus;Thermogladius;Metallosphaera;Vulcanisaeta;Candidatus Methanomethylicia.U.genus;Caldisphaera;Acidilobus;Desulfurococcus;Thermodiscus;Saccharolobus;Pyrodictiaceae.U.genus;Thermoproteus;Pyrodictium;Thermocladium;Sulfurisphaera
Thermoprotei,class,21,74.71,3.56,373,Archaea > Thermoproteati > Thermoproteota,"Sulfophobococcus(10.7), Ignisphaera(5.5), Thermofilum(4.5), Aeropyrum(4.5), Pyrobaculum(4.1)",Sulfophobococcus;Ignisphaera;Thermofilum;Aeropyrum;Pyrobaculum;Fervidicoccaceae.U.genus;Staphylothermus;Fervidicoccus;Thermogladius;Metallosphaera;Vulcanisaeta;Caldisphaera;Acidilobus;Desulfurococcus;Thermodiscus;Saccharolobus;Pyrodictiaceae.U.genus;Thermoproteus;Pyrodictium;Thermocladium;Sulfurisphaera
Methanomicrobia,class,17,60.72,3.57,839,Methanobacteriati > Methanobacteriota > Stenosarchaea group,"Methanothrix(6.4), Methanospirillum(5.5), Methanoregula(4.8), Methanocella(4.5), Methanomicrobium(4.3)",Methanothrix;Methanospirillum;Methanoregula;Methanocella;Methanomicrobium;Methanolinea;Methanosarcina;Methanoculleus;Methanocalculus;Methanocorpusculum;Methanimicrococcus;Methanocellaceae.U.genus;Methanogenium;Methanolobus;Methanomethylovorans;Methanococcoides;Methermicoccus
Haloferacaceae,family,13,38.62,2.97,342,Stenosarchaea group > Halobacteria > Halobacteriales,"Halonotius(4.8), Haloquadratum(4.7), Haloparvum(3.8), Halolamina(3.6), Halorubrum(3.5)",Halonotius;Haloquadratum;Haloparvum;Halolamina;Halorubrum;Halohasta;Halobellus;Haloplanus;Salinigranum;Halogeometricum;Halogranum;Halobium;Salinirubrum
Desulfurococcales,order,9,37.58,4.18,147,Thermoproteati > Thermoproteota > Thermoprotei,"Sulfophobococcus(10.7), Ignisphaera(5.5), Aeropyrum(4.5), Staphylothermus(3.6), Thermogladius(3.3)",Sulfophobococcus;Ignisphaera;Aeropyrum;Staphylothermus;Thermogladius;Desulfurococcus;Thermodiscus;Pyrodictiaceae.U.genus;Pyrodictium
Desulfurococcaceae,family,7,33.12,4.73,127,Thermoproteota > Thermoprotei > Desulfurococcales,"Sulfophobococcus(10.7), Ignisphaera(5.5), Aeropyrum(4.5), Staphylothermus(3.6), Thermogladius(3.3)",Sulfophobococcus;Ignisphaera;Aeropyrum;Staphylothermus;Thermogladius;Desulfurococcus;Thermodiscus
Thermoplasmatota,phylum,8,31.58,3.95,1564,root > Archaea > Methanobacteriati,"Thermoplasmata.U.genus(7.2), Candidatus Methanomethylophilaceae.U.genus(7.0), Thermoplasmataceae.U.genus(4.3), Ferroplasma(3.4), Aciduliprofundum(3.1)",Thermoplasmata.U.genus;Candidatus Methanomethylophilaceae.U.genus;Thermoplasmataceae.U.genus;Ferroplasma;Aciduliprofundum;Ferroplasmaceae.U.genus;Thermoplasma;Cuniculiplasma
Methanomicrobiales,order,8,30.95,3.87,354,Methanobacteriota > Stenosarchaea group > Methanomicrobia,"Methanospirillum(5.5), Methanoregula(4.8), Methanomicrobium(4.3), Methanolinea(4.0), Methanoculleus(3.3)",Methanospirillum;Methanoregula;Methanomicrobium;Methanolinea;Methanoculleus;Methanocalculus;Methanocorpusculum;Methanogenium
Thermoplasmata,class,7,28.47,4.07,1550,Archaea > Methanobacteriati > Thermoplasmatota,"Thermoplasmata.U.genus(7.2), Candidatus Methanomethylophilaceae.U.genus(7.0), Thermoplasmataceae.U.genus(4.3), Ferroplasma(3.4), Ferroplasmaceae.U.genus(2.5)",Thermoplasmata.U.genus;Candidatus Methanomethylophilaceae.U.genus;Thermoplasmataceae.U.genus;Ferroplasma;Ferroplasmaceae.U.genus;Thermoplasma;Cuniculiplasma
Nitrososphaerota,phylum,5,27.38,5.48,1438,root > Archaea > Thermoproteati,"Nitrosopumilaceae.U.genus(7.2), Nitrososphaeraceae.U.genus(6.6), Nitrososphaeria.U.genus(6.3), Nitrosarchaeum(3.9), Candidatus Nitrosocaldaceae.U.genus(3.4)",Nitrosopumilaceae.U.genus;Nitrososphaeraceae.U.genus;Nitrososphaeria.U.genus;Nitrosarchaeum;Candidatus Nitrosocaldaceae.U.genus
Nanobdellota,phylum,4,27.12,6.78,3178,root > Archaea > Nanobdellati,"Candidatus Nanoarchaeia.U.genus(15.2), Nanoarchaeota.U.genus(5.3), Nanoarchaeum(4.3), Nanopusillaceae.U.genus(2.3)",Candidatus Nanoarchaeia.U.genus;Nanoarchaeota.U.genus;Nanoarchaeum;Nanopusillaceae.U.genus
Candidatus Nanoarchaeia,class,3,21.81,7.27,3031,Archaea > Nanobdellati > Nanobdellota,"Candidatus Nanoarchaeia.U.genus(15.2), Nanoarchaeum(4.3), Nanopusillaceae.U.genus(2.3)",Candidatus Nanoarchaeia.U.genus;Nanoarchaeum;Nanopusillaceae.U.genus
Natrialbaceae,family,7,19.61,2.8,85,Stenosarchaea group > Halobacteria > Halobacteriales,"Haloterrigena(3.7), Natronobacterium(3.3), Halobiforma(2.9), Halopiger(2.7), Natronolimnobius(2.6)",Haloterrigena;Natronobacterium;Halobiforma;Halopiger;Natronolimnobius;Natronorubrum;Halovivax
Haloarculaceae,family,6,18.53,3.09,122,Stenosarchaea group > Halobacteria > Halobacteriales,"Halapricum(4.3), Halomicrobium(3.9), Halovenus(3.4), Halosimplex(2.7), Halorientalis(2.5)",Halapricum;Halomicrobium;Halovenus;Halosimplex;Halorientalis;Salinirussus
Methanobacteriales,order,4,16.2,4.05,407,Methanobacteriota > Methanomada group > Methanobacteria,"Methanosphaera(5.5), Methanobrevibacter(5.3), Methanobacterium(3.3), Methanothermus(2.2)",Methanosphaera;Methanobrevibacter;Methanobacterium;Methanothermus
Methanosarcinales,order,6,15.89,2.65,179,Methanobacteriota > Stenosarchaea group > Methanomicrobia,"Methanosarcina(3.8), Methanimicrococcus(3.0), Methanolobus(2.6), Methanomethylovorans(2.5), Methanococcoides(2.4)",Methanosarcina;Methanimicrococcus;Methanolobus;Methanomethylovorans;Methanococcoides;Methermicoccus
Thermoplasmatales,order,5,14.34,2.87,72,Methanobacteriati > Thermoplasmatota > Thermoplasmata,"Thermoplasmataceae.U.genus(4.3), Ferroplasma(3.4), Ferroplasmaceae.U.genus(2.5), Thermoplasma(2.1), Cuniculiplasma(2.1)",Thermoplasmataceae.U.genus;Ferroplasma;Ferroplasmaceae.U.genus;Thermoplasma;Cuniculiplasma
Methanosarcinaceae,family,5,14.16,2.83,176,Stenosarchaea group > Methanomicrobia > Methanosarcinales,"Methanosarcina(3.8), Methanimicrococcus(3.0), Methanolobus(2.6), Methanomethylovorans(2.5), Methanococcoides(2.4)",Methanosarcina;Methanimicrococcus;Methanolobus;Methanomethylovorans;Methanococcoides
Methanobacteriaceae,family,3,14.02,4.67,404,Methanomada group > Methanobacteria > Methanobacteriales,"Methanosphaera(5.5), Methanobrevibacter(5.3), Methanobacterium(3.3)",Methanosphaera;Methanobrevibacter;Methanobacterium
Thermoproteaceae,family,4,11.63,2.91,91,Thermoproteota > Thermoprotei > Thermoproteales,"Pyrobaculum(4.1), Vulcanisaeta(3.2), Thermoproteus(2.2), Thermocladium(2.1)",Pyrobaculum;Vulcanisaeta;Thermoproteus;Thermocladium
Candidatus Bathyarchaeota,phylum,1,11.53,11.53,2612,root > Archaea > Thermoproteati,Candidatus Bathyarchaeota.U.genus(11.5),Candidatus Bathyarchaeota.U.genus
Candidatus Micrarchaeales,order,1,11.35,11.35,604,Nanobdellati > Microcaldota > Candidatus Micrarchaeia,Candidatus Micrarchaeales.U.genus(11.4),Candidatus Micrarchaeales.U.genus
Nitrosopumilaceae,family,2,11.08,5.54,528,Nitrososphaerota > Nitrososphaeria > Nitrosopumilales,"Nitrosopumilaceae.U.genus(7.2), Nitrosarchaeum(3.9)",Nitrosopumilaceae.U.genus;Nitrosarchaeum
Methanococcales,order,3,10.52,3.51,64,Methanobacteriota > Methanomada group > Methanococci,"Methanotorris(4.1), Methanocaldococcus(3.7), Methanococcus(2.7)",Methanotorris;Methanocaldococcus;Methanococcus
Methanomicrobiaceae,family,3,10.5,3.5,111,Stenosarchaea group > Methanomicrobia > Methanomicrobiales,"Methanomicrobium(4.3), Methanoculleus(3.3), Methanogenium(2.9)",Methanomicrobium;Methanoculleus;Methanogenium
Candidatus Odinarchaeota,phylum,1,8.88,8.88,169,root > Archaea > Promethearchaeati,Odinarchaeia.U.genus(8.9),Odinarchaeia.U.genus
Methanoregulaceae,family,2,8.81,4.41,138,Stenosarchaea group > Methanomicrobia > Methanomicrobiales,"Methanoregula(4.8), Methanolinea(4.0)",Methanoregula;Methanolinea
Halobacteriaceae,family,4,8.78,2.2,45,Stenosarchaea group > Halobacteria > Halobacteriales,"Halobacterium(2.6), Halarchaeum(2.3), Halodesulfurarchaeum(2.1), Halanaeroarchaeum(1.8)",Halobacterium;Halarchaeum;Halodesulfurarchaeum;Halanaeroarchaeum
Methanocaldococcaceae,family,2,7.82,3.91,52,Methanomada group > Methanococci > Methanococcales,"Methanotorris(4.1), Methanocaldococcus(3.7)",Methanotorris;Methanocaldococcus
Candidatus Hadarchaeota,phylum,1,7.72,7.72,223,root > Archaea > Methanobacteriati,Hadesarchaea.U.genus(7.7),Hadesarchaea.U.genus
Sulfolobaceae,family,3,7.65,2.55,40,Thermoproteota > Thermoprotei > Sulfolobales,"Metallosphaera(3.3), Saccharolobus(2.6), Sulfurisphaera(1.8)",Metallosphaera;Saccharolobus;Sulfurisphaera
Thermococci,class,2,7.43,3.71,303,Archaea > Methanobacteriati > Methanobacteriota,"Thermococci.U.genus(5.3), Palaeococcus(2.1)",Thermococci.U.genus;Palaeococcus
Methanocellaceae,family,2,7.43,3.72,60,Stenosarchaea group > Methanomicrobia > Methanocellales,"Methanocella(4.5), Methanocellaceae.U.genus(3.0)",Methanocella;Methanocellaceae.U.genus
Fervidicoccaceae,family,2,7.31,3.65,27,Thermoproteota > Thermoprotei > Fervidicoccales,"Fervidicoccaceae.U.genus(3.9), Fervidicoccus(3.4)",Fervidicoccaceae.U.genus;Fervidicoccus
Candidatus Hydrothermarchaeota,phylum,1,7.16,7.16,146,root > Archaea > Methanobacteriati,Candidatus Hydrothermarchaeota.U.genus(7.2),Candidatus Hydrothermarchaeota.U.genus
Methanomethylophilaceae,family,1,6.98,6.98,145,Thermoplasmatota > Thermoplasmata > Methanomassiliicoccales,Candidatus Methanomethylophilaceae.U.genus(7.0),Candidatus Methanomethylophilaceae.U.genus
Natronomonadaceae,family,2,6.77,3.39,57,Stenosarchaea group > Halobacteria > Halobacteriales,"Natronomonas(3.9), Halomarina(2.9)",Natronomonas;Halomarina
Candidatus Heimdallarchaeota,phylum,1,6.76,6.76,83,root > Archaea > Promethearchaeati,Heimdallarchaeia.U.genus(6.8),Heimdallarchaeia.U.genus
Nitrososphaeraceae,family,1,6.65,6.65,269,Nitrososphaerota > Nitrososphaeria > Nitrososphaerales,Nitrososphaeraceae.U.genus(6.6),Nitrososphaeraceae.U.genus
Nanoarchaeales,order,2,6.6,3.3,25,Nanobdellati > Nanobdellota > Candidatus Nanoarchaeia,"Nanoarchaeum(4.3), Nanopusillaceae.U.genus(2.3)",Nanoarchaeum;Nanopusillaceae.U.genus
Methanotrichaceae,family,1,6.44,6.44,246,Stenosarchaea group > Methanomicrobia > Methanotrichales,Methanothrix(6.4),Methanothrix
Thermoplasmataceae,family,2,6.36,3.18,37,Thermoplasmatota > Thermoplasmata > Thermoplasmatales,"Thermoplasmataceae.U.genus(4.3), Thermoplasma(2.1)",Thermoplasmataceae.U.genus;Thermoplasma
Acidilobales,order,2,6.07,3.03,27,Thermoproteati > Thermoproteota > Thermoprotei,"Caldisphaera(3.0), Acidilobus(3.0)",Caldisphaera;Acidilobus
Ferroplasmaceae,family,2,5.88,2.94,29,Thermoplasmatota > Thermoplasmata > Thermoplasmatales,"Ferroplasma(3.4), Ferroplasmaceae.U.genus(2.5)",Ferroplasma;Ferroplasmaceae.U.genus
Methanospirillaceae,family,1,5.49,5.49,58,Stenosarchaea group > Methanomicrobia > Methanomicrobiales,Methanospirillum(5.5),Methanospirillum
Archaeoglobaceae,family,2,5.34,2.67,16,Methanobacteriota > Archaeoglobi > Archaeoglobales,"Ferroglobus(3.0), Geoglobus(2.3)",Ferroglobus;Geoglobus
Natronoarchaeaceae,family,2,5.23,2.61,22,Stenosarchaea group > Halobacteria > Halobacteriales,"Salinarchaeum(2.9), Natronoarchaeum(2.3)",Salinarchaeum;Natronoarchaeum
Thermofilaceae,family,1,4.47,4.47,41,Thermoproteota > Thermoprotei > Thermofilales,Thermofilum(4.5),Thermofilum
Pyrodictiaceae,family,2,4.46,2.23,20,Thermoproteota > Thermoprotei > Desulfurococcales,"Pyrodictiaceae.U.genus(2.4), Pyrodictium(2.1)",Pyrodictiaceae.U.genus;Pyrodictium
Nanoarchaeaceae,family,1,4.3,4.3,17,Nanobdellota > Candidatus Nanoarchaeia > Nanoarchaeales,Nanoarchaeum(4.3),Nanoarchaeum
Candidatus Nitrosocaldaceae,family,1,3.37,3.37,22,Nitrososphaerota > Nitrososphaeria > Candidatus Nitrosocaldales,Candidatus Nitrosocaldaceae.U.genus(3.4),Candidatus Nitrosocaldaceae.U.genus
Halococcaceae,family,1,3.24,3.24,29,Stenosarchaea group > Halobacteria > Halobacteriales,Halococcus(3.2),Halococcus
Methanocalculaceae,family,1,3.14,3.14,22,Stenosarchaea group > Methanomicrobia > Methanomicrobiales,Methanocalculus(3.1),Methanocalculus
Methanonatronarchaeaceae,family,1,3.07,3.07,12,Methanobacteriota > Methanonatronarchaeia > Methanonatronarchaeales,Methanonatronarchaeaceae.U.genus(3.1),Methanonatronarchaeaceae.U.genus
Haladaptataceae,family,1,3.06,3.06,34,Stenosarchaea group > Halobacteria > Halobacteriales,Halorussus(3.1),Halorussus
Caldisphaeraceae,family,1,3.05,3.05,8,Thermoproteota > Thermoprotei > Acidilobales,Caldisphaera(3.0),Caldisphaera
Methanosuratincolia,class,1,3.05,3.05,27,Archaea > Thermoproteati > Thermoproteota,Candidatus Methanomethylicia.U.genus(3.1),Candidatus Methanomethylicia.U.genus
Acidilobaceae,family,1,3.02,3.02,19,Thermoproteota > Thermoprotei > Acidilobales,Acidilobus(3.0),Acidilobus
Methanocorpusculaceae,family,1,3.0,3.0,25,Stenosarchaea group > Methanomicrobia > Methanomicrobiales,Methanocorpusculum(3.0),Methanocorpusculum
Methanococcaceae,family,1,2.71,2.71,12,Methanomada group > Methanococci > Methanococcales,Methanococcus(2.7),Methanococcus
Halorubellaceae,family,1,2.64,2.64,9,Stenosarchaea group > Halobacteria > Halobacteriales,Halorubellus(2.6),Halorubellus
Nanopusillaceae,family,1,2.29,2.29,8,Nanobdellota > Candidatus Nanoarchaeia > Nanoarchaeales,Nanopusillaceae.U.genus(2.3),Nanopusillaceae.U.genus
Methanothermaceae,family,1,2.18,2.18,3,Methanomada group > Methanobacteria > Methanobacteriales,Methanothermus(2.2),Methanothermus
Cuniculiplasmataceae,family,1,2.09,2.09,6,Thermoplasmatota > Thermoplasmata > Thermoplasmatales,Cuniculiplasma(2.1),Cuniculiplasma
Thermococcaceae,family,1,2.08,2.08,5,Methanobacteriota > Thermococci > Thermococcales,Palaeococcus(2.1),Palaeococcus
Methermicoccaceae,family,1,1.74,1.74,3,Stenosarchaea group > Methanomicrobia > Methanosarcinales,Methermicoccus(1.7),Methermicoccus
