LABELS
SEPARATOR TAB
DATA
Archaea_D	Archaea (D)
Methanobacteriati_K	Methanobacteriati (K)
Methanobacteriota_P	Methanobacteriota (P) NF=2.0
Methanomada_group_C	Methanomada group (C)
Methanobacteria_C	Methanobacteria (C)
Methanobacteriales_O	Methanobacteriales (O)
Methanobacteriaceae_F	Methanobacteriaceae (F) NF=2.4
Methanobrevibacter_G	Methanobrevibacter (G) NF=4.0
Methanobacterium_G	Methanobacterium (G) NF=1.3
Methanosphaera_G	Methanosphaera (G) NF=6.5
Methanothermobacter_G	Methanothermobacter (G) NF=0.9
Methanothermaceae_F	Methanothermaceae (F) NF=3.0
Methanothermus_G	Methanothermus (G) NF=3.0
Methanococci_C	Methanococci (C)
Methanococcales_O	Methanococcales (O)
Methanococcaceae_F	Methanococcaceae (F) NF=1.5
Methanococcus_G	Methanococcus (G) NF=2.4
Methanothermococcus_G	Methanothermococcus (G) NF=0.5
Methanocaldococcaceae_F	Methanocaldococcaceae (F) NF=4.3
Methanocaldococcus_G	Methanocaldococcus (G) NF=4.1
Methanotorris_G	Methanotorris (G) NF=7.5
Methanopyri_C	Methanopyri (C)
Methanopyrales_O	Methanopyrales (O)
Methanopyraceae_F	Methanopyraceae (F) NF=1.0
Methanopyrus_G	Methanopyrus (G) NF=1.0
Stenosarchaea_group_C	Stenosarchaea group (C)
Halobacteria_C	Halobacteria (C)
Halobacteriales_O	Halobacteriales (O)
Haloferacaceae_F	Haloferacaceae (F) NF=1.0
Halorubrum_G	Halorubrum (G) NF=1.5
Haloferax_G	Haloferax (G) NF=0.8
Halobellus_G	Halobellus (G) NF=1.4
Haloplanus_G	Haloplanus (G) NF=1.3
Halobaculum_G	Halobaculum (G) NF=0.5
Halolamina_G	Halolamina (G) NF=3.2
Haloquadratum_G	Haloquadratum (G) NF=8.7
Halogeometricum_G	Halogeometricum (G) NF=1.2
Salinigranum_G	Salinigranum (G) NF=1.7
Halopenitus_G	Halopenitus (G) NF=0.5
Halonotius_G	Halonotius (G) NF=5.8
Halohasta_G	Halohasta (G) NF=2.5
Haloprofundus_G	Haloprofundus (G) NF=0.2
Halopelagius_G	Halopelagius (G) NF=0.7
Halobium_G	Halobium (G) NF=1.5
Halogranum_G	Halogranum (G) NF=1.7
Haloparvum_G	Haloparvum (G) NF=8.0
Salinirubrum_G	Salinirubrum (G) NF=2.0
Haloarculaceae_F	Haloarculaceae (F) NF=1.4
Haloarcula_G	Haloarcula (G) NF=0.5
Halovenus_G	Halovenus (G) NF=4.0
Halorientalis_G	Halorientalis (G) NF=1.4
Halapricum_G	Halapricum (G) NF=5.8
Halorhabdus_G	Halorhabdus (G) NF=0.6
Halomicrobium_G	Halomicrobium (G) NF=0.1
Halosimplex_G	Halosimplex (G) NF=2.1
Salinirussus_G	Salinirussus (G) NF=1.5
Natrialbaceae_F	Natrialbaceae (F) NF=0.9
Natrinema_G	Natrinema (G) NF=0.4
Natronorubrum_G	Natronorubrum (G) NF=1.4
Natronococcus_G	Natronococcus (G) NF=1.0
