LABELS
SEPARATOR TAB
DATA
Bacteria_D	Bacteria (D)
Pseudomonadati_K	Pseudomonadati (K)
Pseudomonadota_P	Pseudomonadota (P) NF=1.6
Gammaproteobacteria_C	Gammaproteobacteria (C)
Enterobacterales_O	Enterobacterales (O)
Enterobacteriaceae_F	Enterobacteriaceae (F) NF=0.5
Salmonella_G	Salmonella (G) NF=0.1
Escherichia_G	Escherichia (G) NF=0.6
Klebsiella/Raoultella_group_N	Klebsiella/Raoultella group (N)
Klebsiella_G	Klebsiella (G) NF=0.5
Raoultella_G	Raoultella (G) NF=0.4
Shigella_G	Shigella (G) NF=0.2
Enterobacter_G	Enterobacter (G) NF=0.7
Citrobacter_G	Citrobacter (G) NF=0.2
Cronobacter_G	Cronobacter (G) NF=2.2
Leclercia_G	Leclercia (G) NF=0.2
Kluyvera_G	Kluyvera (G) NF=0.5
Atlantibacter_G	Atlantibacter (G) NF=1.0
Kosakonia_G	Kosakonia (G) NF=0.7
Pluralibacter_G	Pluralibacter (G) NF=0.7
Lelliottia_G	Lelliottia (G) NF=0.4
Plesiomonas_G	Plesiomonas (G) NF=4.8
Pseudescherichia_G	Pseudescherichia (G) NF=0.2
Buttiauxella_G	Buttiauxella (G) NF=0.5
Cedecea_G	Cedecea (G) NF=0.2
Pseudocitrobacter_G	Pseudocitrobacter (G) NF=0.4
Phytobacter_G	Phytobacter (G) NF=0.1
Franconibacter_G	Franconibacter (G) NF=0.4
Yokenella_G	Yokenella (G) NF=5.0
Siccibacter_G	Siccibacter (G) NF=0.5
Trabulsiella_G	Trabulsiella (G) NF=2.0
Mangrovibacter_G	Mangrovibacter (G) NF=0.6
Shimwellia_G	Shimwellia (G) NF=4.5
Yersiniaceae_F	Yersiniaceae (F) NF=1.2
Rahnella_G	Rahnella (G) NF=0.6
Rouxiella_G	Rouxiella (G) NF=0.1
Ewingella_G	Ewingella (G) NF=0.8
Gibbsiella_G	Gibbsiella (G) NF=0.7
Chania_G	Chania (G) NF=0.5
Morganellaceae_F	Morganellaceae (F) NF=1.0
Providencia_G	Providencia (G) NF=0.2
Xenorhabdus_G	Xenorhabdus (G) NF=0.7
Photorhabdus_G	Photorhabdus (G) NF=1.0
Arsenophonus_G	Arsenophonus (G) NF=2.2
Erwiniaceae_F	Erwiniaceae (F) NF=1.1
Pantoea_G	Pantoea (G) NF=0.8
Erwinia_G	Erwinia (G) NF=0.7
Mixta_G	Mixta (G) NF=0.1
Rosenbergiella_G	Rosenbergiella (G) NF=1.3
Tatumella_G	Tatumella (G) NF=0.4
Wigglesworthia_G	Wigglesworthia (G) NF=2.0
Izhakiella_G	Izhakiella (G) NF=8.0
