taxon,taxid,lineage
Pseudomonadota,1224,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Pseudomonadota[phylum]
Bacillota,1239,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Bacillota[phylum]
Campylobacterota,29547,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Campylobacterota[phylum]
Bacteroidota,976,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > FCB group[clade] > Bacteroidota/Chlorobiota group[clade] > Bacteroidota[phylum]
Actinomycetota,201174,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Actinomycetota[phylum]
Chloroflexota,200795,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Chloroflexota[phylum]
Acidobacteriota,57723,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Acidobacteriota[phylum]
Verrucomicrobiota,74201,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > PVC group[clade] > Verrucomicrobiota[phylum]
Planctomycetota,203682,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > PVC group[clade] > Planctomycetota[phylum]
Thermodesulfobacteriota,200940,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Thermodesulfobacteriota[phylum]
Spirochaetota,203691,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Spirochaetota[phylum]
Euryarchaeota,28890,cellular organisms[cellular root] > Archaea[domain] > Methanobacteriati[kingdom] > Methanobacteriota[phylum]
Cyanobacteriota,1117,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Cyanobacteriota/Melainabacteria group[clade] > Cyanobacteriota[phylum]
Myxococcota,2818505,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Myxococcota[phylum]
Mycoplasmatota,544448,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Mycoplasmatota[phylum]
Gemmatimonadota,142182,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > FCB group[clade] > Gemmatimonadota[phylum]
Nitrososphaerota,651137,cellular organisms[cellular root] > Archaea[domain] > Thermoproteati[kingdom] > Nitrososphaerota[phylum]
Nitrospirota,40117,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Nitrospirota[phylum]
Thermoproteota,28889,cellular organisms[cellular root] > Archaea[domain] > Thermoproteati[kingdom] > Thermoproteota[phylum]
Bdellovibrionota,3018035,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Bdellovibrionota[phylum]
Ignavibacteriota,1134404,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > FCB group[clade] > Bacteroidota/Chlorobiota group[clade] > Ignavibacteriota[phylum]
Fusobacteriota,32066,cellular organisms[cellular root] > Bacteria[domain] > Fusobacteriati[kingdom] > Fusobacteriota[phylum]
Chlamydiota,204428,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > PVC group[clade] > Chlamydiota[phylum]
Elusimicrobiota,74152,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Elusimicrobiota[phylum]
Armatimonadota,67819,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Armatimonadota[phylum]
Synergistota,508458,cellular organisms[cellular root] > Bacteria[domain] > Thermotogati[kingdom] > Synergistota[phylum]
