family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Thermoanaerobaculaceae,708,2663,0.27,0.22,39,4,1,0.0,0.01,2.56,177.0,0.006,1,1,-1,1,matched,Bacteria,
Thioalkalispiraceae,156,362,0.06,0.03,10,1,0,0.0,0.0,0.0,156.0,0.006,1,1,-1,1,matched,Bacteria,
Blastocatellaceae,430,1683,0.16,0.14,53,3,0,0.0,0.0,0.0,143.333,0.007,1,1,-1,1,matched,Bacteria,
Kofleriaceae,749,3138,0.29,0.26,167,6,2,0.01,0.01,1.2,124.833,0.008,1,1,-1,1,matched,Bacteria,
Pyrinomonadaceae,659,3239,0.25,0.27,741,6,1,0.03,0.01,0.13,109.833,0.009,1,1,-1,1,matched,Bacteria,
Microscillaceae,617,2545,0.24,0.21,12,6,2,0.0,0.01,16.67,102.833,0.01,1,1,-1,1,matched,Bacteria,
Longimicrobiaceae,301,757,0.11,0.06,82,3,3,0.0,0.0,3.66,100.333,0.01,1,1,-1,1,matched,Bacteria,
Chthoniobacteraceae,791,4749,0.3,0.4,281,8,2,0.01,0.01,0.71,98.875,0.01,1,1,-1,1,matched,Bacteria,
Vicinamibacteraceae,549,2228,0.21,0.19,58,6,2,0.0,0.01,3.45,91.5,0.011,1,1,-1,1,matched,Bacteria,
Oligoflexaceae,299,838,0.11,0.07,15,4,2,0.0,0.01,13.33,74.75,0.013,1,1,-1,1,matched,Bacteria,
