phylum,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Nanoarchaeota,3178,9061,1.21,0.76,754,27,34,0.03,0.03,4.51,117.704,0.008,0,1,0,1,matched,Archaea,
Abditibacteriota,257,816,0.1,0.07,45,7,2,0.0,0.01,4.44,36.714,0.027,1,1,-1,1,matched,Bacteria,
Calditrichota,455,1257,0.17,0.11,274,13,7,0.01,0.01,2.55,35.0,0.029,1,1,-1,1,matched,Bacteria,
Planctomycetota,13119,44891,5.0,3.76,10360,498,384,0.4,0.57,3.71,26.343,0.038,1,1,-1,1,matched,Bacteria,
Thermomicrobiota,511,1946,0.19,0.16,277,20,7,0.01,0.02,2.53,25.55,0.039,1,1,-1,1,matched,Bacteria,
Acidobacteriota,9124,44683,3.48,3.74,12455,370,219,0.48,0.42,1.76,24.659,0.041,1,1,-1,1,matched,Bacteria,
Gemmatimonadota,2576,11870,0.98,0.99,4545,129,38,0.18,0.15,0.84,19.969,0.05,1,1,-1,1,matched,Bacteria,
Chloroflexota,13210,58834,5.04,4.93,14682,716,516,0.57,0.82,3.51,18.45,0.054,1,1,-1,1,matched,Bacteria,
Verrucomicrobiota,10214,45775,3.89,3.83,12194,606,1163,0.47,0.69,9.54,16.855,0.059,1,1,-1,1,matched,Bacteria,
Armatimonadota,1473,5017,0.56,0.42,1170,96,12,0.05,0.11,1.03,15.344,0.065,1,1,-1,1,matched,Bacteria,
