node,rank,num_genera,total_priority_score,avg_priority_score,total_otu,path,top_genera,all_genera
Euamoebida,order,8,109.91,13.74,668,Amoebozoa > Tubulinea > Elardia,"Saccamoeba(17.2), Copromyxa(15.6), Euamoebida.U.genus(14.7), Hartmannellidae.U.genus(13.3), Hartmannella(13.3)",Saccamoeba;Copromyxa;Euamoebida.U.genus;Hartmannellidae.U.genus;Hartmannella;Chaos;Ptolemeba;Polychaos
Arcellinida,order,6,71.71,11.95,318,Amoebozoa > Tubulinea > Elardia,"Bullinularia(15.9), Arcellinida.U.genus(14.4), Phryganellina.U.genus(13.7), Physochila(12.4), Cryptodifflugia(8.9)",Bullinularia;Arcellinida.U.genus;Phryganellina.U.genus;Physochila;Cryptodifflugia;Phryganella
Petalomonadida,order,5,69.1,13.82,662,Discoba > Euglenozoa > Euglenida,"Petalomonadida.U.genus(18.1), Scytomonadidae.U.genus(15.9), Scytomonas(14.1), Petalomonas(11.0), Notosolenus(10.0)",Petalomonadida.U.genus;Scytomonadidae.U.genus;Scytomonas;Petalomonas;Notosolenus
Hartmannellidae,family,5,66.9,13.38,414,Tubulinea > Elardia > Euamoebida,"Saccamoeba(17.2), Hartmannellidae.U.genus(13.3), Hartmannella(13.3), Ptolemeba(12.3), Polychaos(10.7)",Saccamoeba;Hartmannellidae.U.genus;Hartmannella;Ptolemeba;Polychaos
Cercomonadidae,family,6,64.28,10.71,158,Rhizaria > Cercozoa > Cercomonadida,"Neocercomonas(14.2), Cavernomonas(13.5), Cercomonas(11.5), Cercomonadidae_X(10.6), Paracercomonas(8.0)",Neocercomonas;Cavernomonas;Cercomonas;Cercomonadidae_X;Paracercomonas;Cercomonadidae.U.genus
Eugregarinorida,order,7,61.95,8.85,315,Apicomplexa > Conoidasida > Gregarinasina,"Monocystis(15.6), Actinocephalidae.U.genus(12.7), Xiphocephalus(11.5), Leidyana2(8.2), Gregarinidae.U.genus(5.9)",Monocystis;Actinocephalidae.U.genus;Xiphocephalus;Leidyana2;Gregarinidae.U.genus;Gregarina3;Leidyana1
Calanoida,order,7,53.46,7.64,68,Copepoda > Neocopepoda > Gymnoplea,"Paracalanus(10.9), Eudiaptomus(10.7), Centropages(8.5), Metridia(8.5), Anomalocera(8.0)",Paracalanus;Eudiaptomus;Centropages;Metridia;Anomalocera;Eurytemora;Acartia
Scytomonadidae,family,4,50.97,12.74,240,Euglenozoa > Euglenida > Petalomonadida,"Scytomonadidae.U.genus(15.9), Scytomonas(14.1), Petalomonas(11.0), Notosolenus(10.0)",Scytomonadidae.U.genus;Scytomonas;Petalomonas;Notosolenus
Glissomonadida,order,4,46.91,11.73,669,Sar > Rhizaria > Cercozoa,"Flectomonas(19.0), Glissomonadida.U.genus(11.6), Sandona(8.9), Allantion(7.4)",Flectomonas;Glissomonadida.U.genus;Sandona;Allantion
Schizoplasmodiidae,family,4,46.36,11.59,124,Evosea > Variosea > Fractovitellida,"Schizoplasmodiidae.U.genus(14.5), Ceratiomyxella(11.5), Schizoplasmodium(11.5), Nematostelium(8.9)",Schizoplasmodiidae.U.genus;Ceratiomyxella;Schizoplasmodium;Nematostelium
Sessilida,order,4,42.21,10.55,174,Intramacronucleata > Oligohymenophorea > Peritrichia,"Vorticella(15.6), Sessilida.U.genus(12.7), Pseudovorticella(8.9), Campanella(5.0)",Vorticella;Sessilida.U.genus;Pseudovorticella;Campanella
Hexamitidae,family,4,41.0,10.25,573,Metamonada > Fornicata > Diplomonadida,"Trimitus(13.4), Hexamitidae.U.genus(11.4), Trepomonas(10.0), Hexamita(6.3)",Trimitus;Hexamitidae.U.genus;Trepomonas;Hexamita
Prostigmata,suborder,5,40.23,8.05,61,Acari > Acariformes > Trombidiformes,"Spinibdella(12.5), Diptilomiopus(11.4), Penthaleus(8.5), Surapoda(5.0), Aculops(2.9)",Spinibdella;Diptilomiopus;Penthaleus;Surapoda;Aculops
Neobodonida,order,3,32.36,10.79,268,Euglenozoa > Kinetoplastea > Metakinetoplastina,"Neobodo(13.2), Neobodonida.U.genus(11.2), Rhynchomonas(8.0)",Neobodo;Neobodonida.U.genus;Rhynchomonas
Flamellidae,family,2,30.43,15.22,259,Amoebozoa > Evosea > Variosea,"Flamellidae.U.genus(16.5), Flamella(14.0)",Flamellidae.U.genus;Flamella
Hexamitinae,subfamily,3,29.64,9.88,89,Fornicata > Diplomonadida > Hexamitidae,"Trimitus(13.4), Trepomonas(10.0), Hexamita(6.3)",Trimitus;Trepomonas;Hexamita
Helotiales,order,5,29.45,5.89,130,leotiomyceta > sordariomyceta > Leotiomycetes,"Tetrachaetum(10.4), Chlorociboria(6.7), Articulospora(5.2), Hyaloscypha(5.0), Neofabraea(2.2)",Tetrachaetum;Chlorociboria;Articulospora;Hyaloscypha;Neofabraea
Phryganellina,suborder,3,29.06,9.69,62,Tubulinea > Elardia > Arcellinida,"Phryganellina.U.genus(13.7), Cryptodifflugia(8.9), Phryganella(6.5)",Phryganellina.U.genus;Cryptodifflugia;Phryganella
Rhabditida,order,5,27.95,5.59,368,Ecdysozoa > Nematoda > Chromadorea,"Plectonchus(9.8), Heterodera(7.9), Pristionchus(5.5), Caenorhabditis(2.9), Ditylenchus(1.8)",Plectonchus;Heterodera;Pristionchus;Caenorhabditis;Ditylenchus
Sandonidae,family,2,27.92,13.96,645,Rhizaria > Cercozoa > Glissomonadida,"Flectomonas(19.0), Sandona(8.9)",Flectomonas;Sandona
Vampyrellida,order,2,27.49,13.75,325,Sar > Rhizaria > Endomyxa,"Vampyrellida.U.genus(17.5), Vampyrella(10.0)",Vampyrellida.U.genus;Vampyrella
Bicosoecida,order,3,27.39,9.13,355,Stramenopiles > Bigyra > Opalozoa,"Bicoecaceae_X(13.8), Bicoecea.U.genus(9.2), Cafeteria(4.4)",Bicoecaceae_X;Bicoecea.U.genus;Cafeteria
Endogenida,order,2,25.43,12.72,70,Intramacronucleata > Phyllopharyngea > Suctoria,"Acineta_1(12.8), Tokophrya(12.6)",Acineta_1;Tokophrya
Cladocera,suborder,4,25.34,6.34,21,Branchiopoda > Phyllopoda > Diplostraca,"Bosmina(8.0), Diaphanosoma(8.0), Leptodora(5.0), Chydorus(4.3)",Bosmina;Diaphanosoma;Leptodora;Chydorus
