DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	EuKCensus vs NCBI
COLOR	#555555

# census_size_count (EuKCensus) and ncbi_genome_count (NCBI) per genus
FIELD_COLORS	#FF8C00	#000000
FIELD_LABELS	EuKCensus (census size)	NCBI (genome count)
ALIGN_FIELDS	0
WIDTH	200
HEIGHT_FACTOR	0.8
BAR_SHIFT	0
MARGIN	5
BORDER_WIDTH	0
SHOW_INTERNAL	1

LEGEND_TITLE	Census size & NCBI genomes
LEGEND_SHAPES	1	1
LEGEND_COLORS	#FF8C00	#000000
LEGEND_LABELS	EuKCensus (census size)	NCBI (genome count)

DATA
Acanthamoeba_G	748	31
Acanthamoebidae_X_ON	22	31
Acantharea_3a_X_ON	1225	0
Acartia_G	7	2
Acineta_1_ON	104	0
Acrogenospora_G	4	0
Actinocephalidae.U.genus_ON	87	0
Actinosphaerium_G	14	0
Aculops_G	7	1
Acyrthosiphon_G	436	3
Adelina_G	3	0
Agaricomycetes.U.genus_ON	4615	1799
Agaricomycetes_X_ON	27	1799
Agaricomycotina.U.genus_ON	2666	2396
Alaimus_G	2	0
Allantion_G	4	0
Allobodo_G	30	0
Allomyces_G	114	3
Alveolata.U.genus_ON	8253	658
Amoebozoa.U.genus_ON	15143	99
Amphitrema_G	60	0
Ankistrodesmus_G	2	0
Annelida_XX.U.genus_ON	202	191
Anolis_G	42	11
Anomalocera_G	55	0
Anthoptilum_G	169	0
Anthozoa.U.genus_ON	2766	340
Aphelidium_G	17	1
Apis_G	762	28
Arabidopsis_G	32	420
Arachnida.U.genus_ON	128	372
Arcellinida.U.genus_ON	271	0
Arthropoda.U.genus_ON	741	9744
Articulospora_G	62	1
Ascomorpha_G	7	0
Ascomycota.U.genus_ON	3632	19277
Aspergillus_G	646	1515
Astrorhiza_G	9	0
Aureococcus_G	182	5
Auxenochlorella_G	524	11
Babesia6_ON	68	35
Babesiidae.U.genus_ON	90	35
Balamuthia_G	12	3
Barbatosphaeria_G	5	1
Basidiomycota.U.genus_ON	88	3277
Bathycoccus_G	99	74
Batrachochytrium_G	45	17
Bellemerea_G	667	0
Bicoecaceae_X_ON	469	0
Bicoecea.U.genus_ON	1227	11
Bigyra.U.genus_ON	244	124
Blastocladiomycetes.U.genus_ON	4	10
Blastocystis_G	618	91
Bodo_G	15	1
Bosmina_G	43	0
Botryococcus_G	8	3
Brachypodium_G	18	8
Branchiopoda.U.genus_ON	673	60
Bullinularia_G	397	0
Caenorhabditis_G	495	177
Cafeteria_G	75	6
Campanella_G	3	0
Candida_G	319	347
Cavernomonas_G	92	0
Centropages_G	13	0
Centroplasthelida_X.U.genus_ON	475	0
Ceratiomyxella_G	54	0
Ceratium_G	65	0
Cercomonadidae.U.genus_ON	3	0
Cercomonadidae_X_ON	26	0
Cercomonas_G	57	0
Cercozoa.U.genus_ON	3275	7
Chaetonotus_G	611	0
Chaos_G	66	0
Chlamydomonadales_X.U.genus_ON	1360	70
Chlamydomonas_G	107	30
Chlorellales_X.U.genus_ON	2704	82
Chlorociboria_G	565	4
Chloroparva_G	17	0
Chlorophyceae.U.genus_ON	62	106
Chlorophyta_X.U.genus_ON	2267	518
Chloropicon_G	50	7
Choanocystis_G	6	0
Chromadorea_X.U.genus_ON	791	658
Chrysaora_G	32	7
Chydorus_G	27	1
Chytridiomycota.U.genus_ON	1528	145
Ciliophora.U.genus_ON	4342	162
Cladophialophora_G	6	17
Clavicaudoides_G	142	0
Coccidioides_G	17	18
Coccomyxa_G	87	0
Coelomomyces_G	29	3
Coemansia_G	40	161
Colletotrichum_G	15	348
Collophidium_G	87	0
Colpodellida_CHR1_X_ON	70	3
Coniophora_G	3	1
Conus_G	225	6
Copromyxa_G	379	0
Corynespora_G	265	58
Craniata_X.U.genus_ON	2470	0
Crassostrea_G	29	6
Crustacea.U.genus_ON	2433	295
Cryomonadida.U.genus_ON	7	0
Cryothecomonas_G	3	0
Cryptococcus_G	5	0
Cryptodifflugia_G	11	0
Cryptosporidiidae.U.genus_ON	8	87
Cryptosporidium13_ON	4	87
Cryptosporidium15_ON	3	87
Cryptosporidium1_ON	922	87
Cryptosporidium4_ON	2	87
Culex_sG	345	16
Culiseta_G	6	2
Cyanidioschyzon_G	21	4
Cyclops_G	5	0
Cyclotrichium_G	227	0
Danio_G	111	30
Daphnia_G	26	34
Debaryomyces_G	1	94
Diaphanosoma_G	5	0
Dileptidae_X_ON	2935	0
Dinoflagellata.U.genus_ON	28	48
Dinophyceae.U.genus_ON	4487	48
Diplophrys_G	26	0
Diptilomiopus_G	31	0
Discosea_X.U.genus_ON	93	41
Distigma_G	188	0
Ditylenchus_G	4	9
Dothideomycetes.U.genus_ON	2447	2654
Dothideomycetes_X_ON	240	2654
Drosophila_G	1383	0
Echinamoeba_G	2	0
Ectocarpus_G	666	12
Eimeria1_ON	535	29
Elardia.U.genus_ON	49	0
Encentrum_G	25	0
Endostelium_G	179	0
Euamoebida.U.genus_ON	246	0
Eudiaptomus_G	901	0
Euglenida.U.genus_ON	5350	5
Euglenozoa.U.genus_ON	204	326
Eukaryota.U.genus_ON	39360	59130
Eukaryota_D	17833	0
Eurotiomycetes.U.genus_ON	3580	3066
Eurytemora_G	89	3
Evaginogenida_X_ON	17	0
Exophiala_G	94	109
Filoreta_G	52	0
Flamella_G	262	0
Flamellidae.U.genus_ON	567	0
Flectomonas_G	3724	0
Foraminifera.U.genus_ON	2196	3
Fungi.U.genus_ON	2638	23592
Fusarium_G	4262	1935
Fusiforma_G	96	0
Gadixcellia_G	22	0
Glissomonadida.U.genus_ON	102	0
Glycine_G	1830	50
Gregarina3_ON	218	1
Gregarinidae.U.genus_ON	187	1
Gromia_G	56	0
Guepiniopsis_G	5	0
Gyropaigne_G	100	0
Halodaphnea_G	2	0
Hartmannella_G	155	0
Hartmannellidae.U.genus_ON	118	0
Hartmannulidae_X_ON	6	0
Hemimastix_G	81	0
Heterodera_G	2028	27
Heterolepidoderma_G	1	0
Heterolobosea.U.genus_ON	4751	26
Hexamita_G	113	1
Hexamitidae.U.genus_ON	3018	41
Homo_G	15	1941
Hyaloscypha_G	131	6
Hyphodiscus_G	1	2
Ichthyophthirius_G	444	1
Insecta.U.genus_ON	16928	8796
Isaria_G	489	1
Kinetoplastea.U.genus_ON	1621	309
Kinetoplastea_XX.U.genus_ON	45	309
Korotnevella_G	50	0
Labyrinthula_G	238	1
Labyrinthulomycetes.U.genus_ON	33	21
Lecanicillium_G	1334	12
Lecanoromycetes.U.genus_ON	343	531
Lecidea_G	9	2
Leidyana1_ON	29	1
Leidyana2_ON	258	1
Leohumicola_G	81	0
Leotiomycetes.U.genus_ON	1747	429
Leptodora_G	7	0
Leptomonas_G	327	3
Limnofilidae_X_ON	6	0
Limulus_G	122	2
Lipomyces_G	6	44
Loimia_G	6	0
Malassezia_G	11722	104
Mammalia.U.genus_ON	564	4692
Mammalia_X_ON	159	4692
Massaria_G	4	0
Massisteria_G	2	0
Mastigamoeba_G	10879	2
Mastigamoebida.U.genus_ON	2	20
Mastigella_G	67	0
Mattesia_G	3	0
Mayetiola_G	11	2
Metazoa.U.genus_ON	25091	24478
Metridia_G	70	0
Micractinium_G	10	4
Micronuclearia_G	28	0
Mitosporidium_G	13	2
Mollusca.U.genus_ON	2354	715
Monocystis_G	467	0
Monoraphidium_G	1	3
Monothalamids_X.U.genus_ON	2233	2
Mortierella_G	6	34
Mrakia_G	95	12
Mucoromycotina.U.genus_ON	363	284
Nannochloropsis_G	315	19
Nassellaria.U.genus_ON	918	0
Nebulomonas_G	3	0
Nematoda.U.genus_ON	5960	710
