level,name,novelty_factor
division,Eukaryota.U.division,0.385
division,Opisthokonta,1.224
division,Streptophyta,0.74
division,Stramenopiles,7.642
division,Alveolata,41.288
division,Chlorophyta,6.143
division,Discoba,41.636
division,Amoebozoa.U.division,66.889
division,Rhodophyta,0.038
division,Metamonada,22.92
division,Rhizaria,284.778
division,Evosea,69.457
division,Discosea,14.778
division,Tubulinea,1323.0
division,TSAR.U.division,inf
division,Archaeplastida.U.division,inf
division,Centroplasthelida,inf
division,Rigifilida,inf
division,Picozoa,inf
division,Hemimastigophora,inf
division,Nibbleridia,inf
division,Nebulidia,inf
family,Eukaryota.U.family,0.385
family,Opisthokonta.U.family,0.035
family,Metazoa.U.family,0.349
family,Fungi_XXX,0.027
family,Fungi.U.family,0.158
family,Ascomycota.U.family,0.058
family,Pezizomycotina.U.family,0.273
family,Arthropoda.U.family,0.025
family,Arthropoda_XX,0.003
family,Insecta,0.635
family,Streptophyta_XXXX,0.001
family,Saccharomycotina_X,0.036
family,Saccharomycotina.U.family,0.204
family,Sordariomycetes,0.867
family,Mammalia,0.245
family,Teleostei,0.03
family,Basidiomycota.U.family,0.02
family,Eurotiomycetes,0.839
family,Saccharomycetales,1.347
family,Dothideomycetes,1.497
family,Agaricomycotina.U.family,0.248
family,Agaricomycetes,0.678
family,Stramenopiles_XXXX,0.01
family,Stramenopiles.U.family,2.163
family,Mollusca.U.family,0.717
family,Nematoda.U.family,3.669
family,Chromadorea_X,2.711
family,Alveolata.U.family,1.795
family,Tremellomycetes,0.643
family,Lecanoromycetes,0.568
family,Chlorophyta_X.U.family,2.037
family,Leotiomycetes,1.612
family,Lepidosauria,0.013
family,Arachnida,0.539
family,Ustilaginomycotina.U.family,0.371
family,Anthozoa,1.338
family,Euglenozoa.U.family,0.413
family,Peronosporales,3.519
family,Kinetoplastea_XX,1.634
family,Kinetoplastea.U.family,4.027
family,Trypanosomatidae,1.374
family,Crustacea.U.family,2.449
family,Mucoromycotina_X,0.658
family,Mucoromycotina.U.family,0.5
family,Amphibia,0.024
family,Zoopagomycota_XX,0.141
family,Zoopagomycota.U.family,0.005
family,Annelida_XX,0.389
family,Trebouxiophyceae_XX,0.056
family,Plasmodiidae,3.962
family,Kickxellales,0.078
family,Ciliophora.U.family,10.037
family,Echinodermata_XX,0.453
family,Platyhelminthes.U.family,8.343
family,Chytridiomycota.U.family,7.162
family,Chytridiomycota_XX,0.041
family,Ustilaginomycetes,1.327
family,Taphrinomycotina.U.family,0.472
family,Microsporida_X,0.169
family,Bigyra.U.family,0.714
family,Bathycoccaceae,13.391
family,Chlorophyceae.U.family,0.135
family,Rotifera_XX,5.87
family,Opalozoa.U.family,9.909
family,Amoebozoa.U.family,66.889
family,Saprolegniales,0.556
family,Mortierellaceae_X,0.111
family,Schizosaccharomycetes,0.25
family,Blastocystis-Group,4.8
family,Exobasidiomycetes,8.27
family,Cryptosporidiidae,3.2
family,Chlorellales_X,8.289
family,Caenogastropoda,0.849
family,Rhizaria.U.family,0.111
family,Eimeriidae,3.778
family,Chlamydomonadales_X,4.932
family,Lipomycetaceae,0.086
family,Endomyxa_XX,0.222
family,Phaeophyceae_XX,1.51
family,Branchiopoda,4.714
family,Enoplea_X,0.7
family,Scyphozoa,0.481
family,Neocallimastigaceae,1.111
family,Neocallimastigomycota_XX,6.0
family,Bacillariophyceae_XX,0.235
family,Dinoflagellata.U.family,0.667
family,Dinophyceae_XX,0.424
family,Dinophyceae.U.family,33.03
family,Glomerales,19.667
family,Thalassiosirales.U.family,1.559
family,Discosea_X.U.family,1.037
family,Hexamitidae,143.25
family,Sarcocystidae,12.667
family,Oligohymenophorea.U.family,17.842
family,Ostreoida,0.722
family,Babesiidae,1.917
family,Sphaeropleales.U.family,1.931
family,Sphaeropleales_X,0.138
family,Thalassiosiraceae,11.885
family,Acanthamoebidae,5.857
family,Rhizophydiales.U.family,2.231
family,Rhizophydiales_X,12.077
family,Chytridiales_X,0.045
family,Heterolobosea.U.family,99.556
family,Tetramitia_I.U.family,22.222
family,Tetramitia_I_X,6.444
family,Eustigmatophyceae_XX,5.571
family,Taphrinomycetes,1.0
family,Parameciidae,6.5
family,Labyrinthulomycetes.U.family,0.95
family,Mastigamoebida.U.family,0.143
family,Theileriidae,12.625
family,Harpellales,6.667
family,Bicoecea_XX,1.167
family,Coccomyxaceae,2.857
family,Bicoecea.U.family,46.667
family,Blastocladiomycetes,3.625
family,Perkinsida_X.U.family,7.25
family,Merostomata,9.0
family,Perkinsida_XX,55.25
family,Oxytrichidae,160.0
family,Pelagomonadaceae,7.2
family,Cyanidiales_X,0.667
family,Ichthyophonida_XX,1.0
family,Chloropicaceae,3.75
family,Cercozoa_XXX,2.4
family,Cercozoa.U.family,230.4
family,Cafeteriaceae,6.0
family,Endomyxa-Ascetosporea_XX,0.667
family,Euglenida.U.family,508.667
family,Selenastraceae,0.2
family,Dacrymycetes,1.25
family,Spizellomycetaceae,13.0
family,Rozellomycota_XX,134.0
family,Salpingoecidae_Group_C1,74.0
family,Paramoebidae,27.0
family,Balamuthiidae,8.0
family,Phaeodactylaceae,15.0
family,Foraminifera.U.family,107.333
family,Euglenaceae,470.0
family,Colpodellida_CHR1,9.0
family,Vannellidae,56.0
family,Tubulinea.U.family,2.0
family,Monothalamids_X.U.family,253.5
family,Neobodonida.U.family,221.0
family,Tubulinea_XXXX,7.0
family,Mastigamoebidae,1609.0
family,Paulinellidae,17.0
family,Monothalamids_XX,46.0
family,Ochromonadaceae,6.0
family,Tubulinea_X.U.family,121.0
family,Gastrotricha_XX,99.0
family,Digenea,190.0
family,Polychytriales_X,5.0
family,Rhabdomonadales,26.0
family,Neovahlkampfiidae,211.0
family,Pelobiontida.U.family,2.0
family,Neogregarinorida.U.family,5.0
family,Bodonidae,10.0
family,Labyrinthulaceae,62.0
family,Pelobiontida_X,34.0
family,Gregarinidae,130.0
family,Aphelidiaceae,12.0
family,Embryophyceae_XX,inf
family,Gyrista.U.family,inf
family,Dino-Group-II.U.family,inf
family,Sandonidae,inf
family,Dino-Group-II-Clade-7,inf
family,TSAR.U.family,inf
family,Hartmannellidae,inf
family,Thoracosphaeraceae,inf
family,Petalomonadida.U.family,inf
family,Dino-Group-II-Clade-10-and-11,inf
family,Polycystinea.U.family,inf
