name,novelty_factor
Eukaryota.U.family,0.385
Opisthokonta.U.family,0.035
Metazoa.U.family,0.349
Fungi_XXX,0.027
Fungi.U.family,0.158
Ascomycota.U.family,0.058
Pezizomycotina.U.family,0.273
Arthropoda.U.family,0.025
Arthropoda_XX,0.003
Insecta,0.635
Streptophyta_XXXX,0.001
Saccharomycotina_X,0.036
Saccharomycotina.U.family,0.204
Sordariomycetes,0.867
Mammalia,0.245
Teleostei,0.03
Basidiomycota.U.family,0.02
Eurotiomycetes,0.839
Saccharomycetales,1.347
Dothideomycetes,1.497
Agaricomycotina.U.family,0.248
Agaricomycetes,0.678
Stramenopiles_XXXX,0.01
Stramenopiles.U.family,2.163
Mollusca.U.family,0.717
Nematoda.U.family,3.669
Chromadorea_X,2.711
Alveolata.U.family,1.795
Tremellomycetes,0.643
Lecanoromycetes,0.568
Chlorophyta_X.U.family,2.037
Leotiomycetes,1.612
Lepidosauria,0.013
Arachnida,0.539
Ustilaginomycotina.U.family,0.371
Anthozoa,1.338
Euglenozoa.U.family,0.413
Peronosporales,3.519
Kinetoplastea_XX,1.634
Kinetoplastea.U.family,4.027
Trypanosomatidae,1.374
Crustacea.U.family,2.449
Mucoromycotina_X,0.658
Mucoromycotina.U.family,0.5
Amphibia,0.024
Zoopagomycota_XX,0.141
Zoopagomycota.U.family,0.005
Annelida_XX,0.389
Trebouxiophyceae_XX,0.056
Plasmodiidae,3.962
Kickxellales,0.078
Ciliophora.U.family,10.037
Echinodermata_XX,0.453
Platyhelminthes.U.family,8.343
Chytridiomycota.U.family,7.162
Chytridiomycota_XX,0.041
Ustilaginomycetes,1.327
Taphrinomycotina.U.family,0.472
Microsporida_X,0.169
Bigyra.U.family,0.714
Bathycoccaceae,13.391
Chlorophyceae.U.family,0.135
Rotifera_XX,5.87
Opalozoa.U.family,9.909
Amoebozoa.U.family,66.889
Saprolegniales,0.556
Mortierellaceae_X,0.111
Schizosaccharomycetes,0.25
Blastocystis-Group,4.8
Exobasidiomycetes,8.27
Cryptosporidiidae,3.2
Chlorellales_X,8.289
Caenogastropoda,0.849
Rhizaria.U.family,0.111
Eimeriidae,3.778
Chlamydomonadales_X,4.932
Lipomycetaceae,0.086
Endomyxa_XX,0.222
Phaeophyceae_XX,1.51
Branchiopoda,4.714
Enoplea_X,0.7
Scyphozoa,0.481
Neocallimastigaceae,1.111
Neocallimastigomycota_XX,6.0
Bacillariophyceae_XX,0.235
Dinoflagellata.U.family,0.667
Dinophyceae_XX,0.424
Dinophyceae.U.family,33.03
