name,novelty_factor
Eukaryota.U.genus,0.385
Opisthokonta.U.genus,0.035
Metazoa.U.genus,0.349
Fungi_XXXX,0.027
Fungi.U.genus,0.158
Ascomycota.U.genus,0.058
Pezizomycotina.U.genus,0.273
Arthropoda.U.genus,0.025
Insecta.U.genus,0.517
Streptophyta_XXXXX,0.001
Saccharomycotina.U.genus,0.204
Sordariomycetes.U.genus,0.311
Mammalia_X,0.069
Mammalia.U.genus,0.116
Basidiomycota.U.genus,0.02
Eurotiomycetes.U.genus,0.529
Saccharomycetales.U.genus,1.098
Dothideomycetes.U.genus,0.923
Dothideomycetes_X,0.096
Agaricomycotina.U.genus,0.248
Saccharomyces,0.65
Homo,5.0
Gibberella,1.726
Agaricomycetes.U.genus,0.594
Agaricomycetes_X,0.007
Aspergillus,0.181
Stramenopiles_XXXXX,0.01
Stramenopiles.U.genus,2.163
Mollusca.U.genus,0.717
Nematoda.U.genus,3.669
Penicillium,0.549
Chromadorea_X.U.genus,0.983
Chromadorea_XX,0.362
Alveolata.U.genus,1.795
Tremellomycetes_X,0.138
Tremellomycetes.U.genus,0.265
Lecanoromycetes.U.genus,0.3
Chlorophyta_X.U.genus,2.037
Leotiomycetes.U.genus,0.991
Arabidopsis,4.286
Arachnida.U.genus,0.27
Ustilaginomycotina.U.genus,0.371
Colletotrichum,0.095
Candida,0.725
Anthozoa.U.genus,1.117
Euglenozoa.U.genus,0.413
Peronosporales.U.genus,0.038
Oryza,0.043
Kinetoplastea_XXX,0.804
Kinetoplastea_XX_MET8,0.205
Kinetoplastea_XX_MET10,0.33
Kinetoplastea.U.genus,4.027
Kinetoplastea_XX.U.genus,0.223
Kinetoplastea_XX_MET3,0.071
Crustacea.U.genus,2.449
Mucoromycotina.U.genus,0.5
Mucoromycotina_XX,0.07
Phytophthora,0.798
Zoopagomycota_XXX,0.094
Zoopagomycota_XX.U.genus,0.031
Zoopagomycota.U.genus,0.005
Neurospora,0.382
Annelida_XX.U.genus,0.317
Zea,186.0
Caenorhabditis,1.163
Plasmodiidae.U.genus,1.731
Ciliophora.U.genus,10.037
