node_id	is_leaf
50_kb_inversion_clade_Cl	no
Acanthamoeba_G	yes
Acanthamoebidae_F	no
Acanthamoebidae_X_ON	yes
Acantharea_3a_X_ON	yes
Acantharea_C	no
Acari_sC	no
Acariformes_SO	no
Acartia_G	yes
Acartiidae_F	no
Acineta_1_ON	yes
Acineta_G	no
Acinetidae_F	no
Aconoidasida_C	no
Acrogenospora_G	yes
Acrogenosporaceae_F	no
Actiniaria_O	no
Actinocephalidae.U.genus_ON	yes
Actinocephalidae_F	no
Actinophryidae_C	no
Actinopteri_C	no
Actinopterygii_SC	no
Actinosphaerium_G	yes
Aculeata_iO	no
Aculops_G	yes
Acyrthosiphon_G	yes
Adeleidae_F	no
Adeleorina_sO	no
Adelina_G	yes
Agaricales_O	no
Agaricineae_sO	no
Agaricomycetes.U.genus_ON	yes
Agaricomycetes_C	no
Agaricomycetes_X_ON	yes
Agaricomycetes_incertae_sedis_NR	no
Agaricomycetidae_sC	no
Agaricomycotina.U.genus_ON	yes
Agaricomycotina_sP	no
Alaimidae_F	no
Alaimina_sO	no
Alaimus_G	yes
Allantion_G	yes
Allapsidae_F	no
Allobodo_G	yes
Allogromida_Cl	no
Allomyces_G	yes
Alveolata.U.genus_ON	yes
Alveolata_Cl	no
Amblycera_sO	no
Amniota_Cl	no
Amoebidae_F	no
Amoebozoa.U.genus_ON	yes
Amoebozoa_Cl	no
Amphibia_C	no
Amphitraemidae_F	no
Amphitrema_G	yes
Amphitremida_O	no
Andropogoneae_T	no
Andropogonodae_NR	no
Anguinidae_F	no
Anguininae_sF	no
Ankistrodesmus_G	yes
Annelida_P	no
Annelida_XX.U.genus_ON	yes
Anolis_G	yes
Anomalocera_G	yes
Anomopoda_iO	no
Anthocoptini_T	no
Anthophila_Cl	no
Anthoptilidae_F	no
Anthoptilum_G	yes
Anthozoa.U.genus_ON	yes
Anthozoa_C	no
Anura_O	no
Aphagea_Cl	no
Aphelida_Cl	no
Aphelidea_C	no
Aphelidiaceae_F	no
Aphelidium_G	yes
Aphididae_F	no
Aphidinae_sF	no
Aphidoidea_SF	no
Aphidomorpha_iO	no
Aphrophoridae_F	no
Apicomplexa_P	no
Apidae_F	no
Apinae_sF	no
Apini_T	no
Apis_G	yes
Apocrita_sO	no
Apoidea_SF	no
Apostomatia_sC	no
Apostomatida_O	no
Arabidopsis_G	yes
Arachnida.U.genus_ON	yes
Arachnida_C	no
Araeolaimida_O	no
Arcellinida.U.genus_ON	yes
Arcellinida_O	no
Archamoebae_Cl	no
Arthropoda.U.genus_ON	yes
Arthropoda_P	no
Articulospora_G	yes
Ascetosporea_C	no
Ascomorpha_G	yes
Ascomycota.U.genus_ON	yes
Ascomycota_P	no
Aspergillaceae_F	no
Aspergillus_G	yes
Astasiidae_F	no
Astrorhiza_G	yes
Astrorhizida_O	no
Astrorhizidae_F	no
Auchenorrhyncha_sO	no
Aureococcus_G	yes
Autobranchia_sC	no
Auxenochlorella_G	yes
Axonolaimoidea_SF	no
BOP_clade_Cl	no
Babesia6_ON	yes
Babesia_G	no
Babesiidae.U.genus_ON	yes
Babesiidae_F	no
Bacillariophyceae_C	no
Bacillariophycidae_Cl	no
Bacillariophyta_P	no
Balamuthia_G	yes
Balamuthiidae_F	no
