DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	OTU & Species Counts
COLOR	#555555

# Bar graph showing OTU counts and NCBI species counts per genus
FIELD_COLORS	#2196F3	#FF9800
FIELD_LABELS	Census OTU Count	NCBI Species Count
ALIGN_FIELDS	0
WIDTH	200
HEIGHT_FACTOR	0.8
BAR_SHIFT	0
MARGIN	5
BORDER_WIDTH	0
SHOW_INTERNAL	0

LEGEND_TITLE	OTU & Species Counts
LEGEND_SHAPES	1	1
LEGEND_COLORS	#2196F3	#FF9800
LEGEND_LABELS	Census OTU Count	NCBI Species Count

DATA
Acanthamoeba_G	104	21
Acanthamoebidae_X_G	16	21
Acantharea_3a_X_G	208	0
Acanthopodida.U.genus_G	3	0
Acartia_G	4	1
Acineta_1_G	37	0
Actinocephalidae.U.genus_G	34	0
Actinosphaerium_G	5	0
Aculops_G	5	1
Acyrthosiphon_G	49	2
Adelina_G	3	0
Agaricomycetes.U.genus_G	665	1120
Agaricomycetes_X_G	8	1120
Agaricomycotina.U.genus_G	328	1320
Alaimus_G	2	0
Allantion_G	3	0
Allobodo_G	14	0
Allogromiina_G	83	0
Allomyces_G	16	3
Alphamonadea_ALPH1_G	2	0
Alveolata.U.genus_G	393	219
Amoebozoa.U.genus_G	4214	63
Amphitrema_G	16	0
Ankistrodesmus_G	1	0
Anolis_G	4	8
Anomalocera_G	4	0
Anthoptilum_G	35	0
Anthozoa.U.genus_G	248	222
Aphelidium_G	12	1
Apis_G	236	6
Arabidopsis_G	30	7
Arachnida.U.genus_G	65	241
Arcellinida.U.genus_G	75	0
Archaeplastida.U.genus_G	342	0
Archamoebea.U.genus_G	58	0
Arthropoda.U.genus_G	138	5500
Articulospora_G	19	1
Ascomorpha_G	6	0
Ascomycota.U.genus_G	288	4926
Aspergillus_G	48	265
Astrorhiza_G	9	0
Aureococcus_G	36	1
Auxenochlorella_G	23	4
Babesia6_G	3	12
Babesiidae.U.genus_G	20	12
Balamuthia_G	8	1
Basidiomycota.U.genus_G	32	1567
Bathycoccus_G	15	10
Batrachochytrium_G	3	2
Bellemerea_G	90	0
Bicoecaceae_X_G	57	0
Bicoecea.U.genus_G	280	6
Bigyra.U.genus_G	30	42
Blastocladiomycetes.U.genus_G	3	8
Blastocystis_G	72	15
Bodo_G	10	1
Bosmina_G	4	0
Botryococcus_G	5	1
Brachypodium_G	7	4
Branchiopoda.U.genus_G	100	28
Bullinularia_G	151	0
Caenorhabditis_G	57	49
Cafeteria_G	18	2
Campanella_G	1	0
Candida_G	29	40
Cavernomonas_G	50	0
Centropages_G	5	0
Centroplasthelida_X.U.genus_G	151	0
Ceratiomyxella_G	20	0
Ceratium_G	3	0
Cercomonadidae.U.genus_G	2	0
Cercomonadidae_X_G	13	0
Cercomonas_G	20	0
Cercozoa.U.genus_G	1152	5
Chaetonotus_G	98	0
Chaos_G	35	0
Chlamydomonadales_X.U.genus_G	191	44
Chlamydomonas_G	23	17
Chlorellales_X.U.genus_G	255	38
Chlorociboria_G	56	2
Chloroparva_G	10	0
Chlorophyceae.U.genus_G	10	74
Chlorophyta_X.U.genus_G	499	245
Chloropicon_G	15	4
Choanocystis_G	5	0
Chromadorea_X.U.genus_G	282	287
Chrysaora_G	13	5
Chydorus_G	12	1
Chytridiomycota.U.genus_G	530	74
Ciliophora.U.genus_G	803	80
Cladophialophora_G	1	9
Clavicaudoides_G	8	0
Coccidioides_G	11	2
Coccidiomorphea.U.genus_G	61	0
Coccomyxa_G	20	0
Coelomomyces_G	10	1
Coemansia_G	12	146
Colletotrichum_G	10	105
Collophidium_G	42	0
Colpodellida_CHR1_X_G	18	2
Coniophora_G	2	1
Conus_G	45	6
Copromyxa_G	133	0
Corallicolla_G	2	0
Corynespora_G	55	2
Craniata_X.U.genus_G	326	0
Crassostrea_G	13	4
Crustacea.U.genus_G	436	178
Cryomonadida.U.genus_G	5	0
Cryothecomonas_G	2	0
Cryptococcus_G	5	0
